Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,9/7/2014,9/1/2014,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45693 ICASESF14A,9/4/2014,9/4/2014,9/1/2014,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45693 ICASESF14A,,9/4/2014,9/1/2014,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45693 ICASESF14A,,9/5/2014,9/1/2014,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45693 ICASESF14A,,9/6/2014,9/1/2014,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45693 ICASESF14A,9/4/2014,9/4/2014,9/1/2014,20,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,,9/4/2014,9/1/2014,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,9/5/2014,9/5/2014,9/1/2014,23,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,9/6/2014,9/6/2014,9/1/2014,35,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,9/7/2014,9/6/2014,9/1/2014,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,,9/6/2014,9/1/2014,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,9/7/2014,9/7/2014,9/1/2014,46,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45693 ICASESF14A,,9/7/2014,9/1/2014,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM127 1800BOWFLEX_BFC,,9/5/2014,9/1/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM127 1800BOWFLEX_BFC,,9/6/2014,9/1/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,9/5/2014,9/1/2014,3,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,9/6/2014,9/6/2014,9/1/2014,3,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,9/6/2014,9/1/2014,2,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,9/7/2014,9/7/2014,9/1/2014,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45632 ICAEE1SITECMT,,9/7/2014,9/1/2014,4,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45699 SAWICAEEMAX,,9/5/2014,9/1/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45623 ICAOSGCESL1,9/4/2014,9/4/2014,9/1/2014,8,Online Search,Web
Bowflex Max Trainer,CAM45623 ICAOSGCESL1,9/5/2014,9/5/2014,9/1/2014,5,Online Search,Web
Bowflex Max Trainer,CAM45623 ICAOSGCESL1,9/6/2014,9/6/2014,9/1/2014,18,Online Search,Web
