Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Treadclimber,CAM38406 SAWDPETPRINT12F,4/10/2015,4/10/2015,4/6/2015,1,Electronic - Print,Call Center Internal
Treadclimber,CAM30971 icastsf09buytc,4/9/2015,4/9/2015,4/6/2015,19,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,4/10/2015,4/10/2015,4/6/2015,22,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,4/11/2015,4/11/2015,4/6/2015,50,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,4/28/2015,4/11/2015,4/6/2015,1,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,4/12/2015,4/12/2015,4/6/2015,51,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,4/13/2015,4/12/2015,4/6/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36732 icastsf12a,4/9/2015,4/9/2015,4/6/2015,3,Electronic - Short Form,Web
Treadclimber,CAM36732 icastsf12a,4/10/2015,4/10/2015,4/6/2015,8,Electronic - Short Form,Web
Treadclimber,CAM37204 icastsf12b,,4/10/2015,4/6/2015,1,Electronic - Short Form,Web
Treadclimber,CAM37204 icastsf12b,4/11/2015,4/11/2015,4/6/2015,1,Electronic - Short Form,Web
Treadclimber,CAM4173 SAWGETATCCA_TRC,,4/9/2015,4/6/2015,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM45693 ICASESF14A,,4/9/2015,4/6/2015,1,Electronic - Short Form,Web
Treadclimber,CAM133 1800BOWFLEX_TRC,4/12/2015,4/12/2015,4/6/2015,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM28491 icat1sitecat,4/9/2015,4/9/2015,4/6/2015,1,Electronic - UnSourced,Web
Treadclimber,CAM28491 icat1sitecat,4/10/2015,4/10/2015,4/6/2015,1,Electronic - UnSourced,Web
Treadclimber,CAM28491 icat1sitecat,4/15/2015,4/12/2015,4/6/2015,1,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,4/9/2015,4/9/2015,4/6/2015,3,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,,4/9/2015,4/6/2015,2,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,4/10/2015,4/10/2015,4/6/2015,3,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,,4/10/2015,4/6/2015,3,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,4/11/2015,4/11/2015,4/6/2015,4,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,,4/11/2015,4/6/2015,1,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,4/12/2015,4/12/2015,4/6/2015,5,Electronic - UnSourced,Web
Treadclimber,CAM44626 1800BOWFLEX_BMT,,4/11/2015,4/6/2015,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM41254 icaodaktdl4,4/11/2015,4/11/2015,4/6/2015,1,Online Display,Web
Treadclimber,CAM46541 ICAODAKTDL7,4/11/2015,4/11/2015,4/6/2015,1,Online Display,Web
Treadclimber,CAM30841 icaosgctsl2,4/9/2015,4/9/2015,4/6/2015,2,Online Search,Web
Treadclimber,CAM30841 icaosgctsl2,4/10/2015,4/10/2015,4/6/2015,4,Online Search,Web
Treadclimber,CAM30841 icaosgctsl2,,4/10/2015,4/6/2015,2,Online Search,Web
Treadclimber,CAM30841 icaosgctsl2,4/11/2015,4/11/2015,4/6/2015,3,Online Search,Web
Treadclimber,CAM30841 icaosgctsl2,4/12/2015,4/12/2015,4/6/2015,3,Online Search,Web
Treadclimber,CAM30841 icaosgctsl2,,4/12/2015,4/6/2015,2,Online Search,Web
Treadclimber,CAM30842 icaosgctsl3,4/10/2015,4/10/2015,4/6/2015,2,Online Search,Web
Treadclimber,CAM30842 icaosgctsl3,4/11/2015,4/11/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM30842 icaosgctsl3,4/12/2015,4/12/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM30896 SAWICAOSGCT,,4/9/2015,4/6/2015,1,Online Search,Call Center Internal
Treadclimber,CAM36695 icaosgctgl1cat,4/9/2015,4/9/2015,4/6/2015,3,Online Search,Web
Treadclimber,CAM36695 icaosgctgl1cat,,4/9/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37608 SAWICAOSBCT,4/12/2015,4/12/2015,4/6/2015,1,Online Search,Call Center Internal
Treadclimber,CAM37660 icaosbctsl5,4/10/2015,4/10/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37661 icaosgctsl5,4/9/2015,4/9/2015,4/6/2015,2,Online Search,Web
Treadclimber,CAM37661 icaosgctsl5,4/10/2015,4/10/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37661 icaosgctsl5,4/12/2015,4/12/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37864 icaosgctsl6,,4/10/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37864 icaosgctsl6,4/12/2015,4/12/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37865 icaosgctsl7,4/11/2015,4/11/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37865 icaosgctsl7,4/12/2015,4/12/2015,4/6/2015,1,Online Search,Web
Treadclimber,CAM37865 icaosgctsl7,,4/12/2015,4/6/2015,1,Online Search,Web
