Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,6/22/2015,6/23/2015,1,1199.00
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,6/22/2015,6/23/2015,2,2350.43
Treadclimber,Electronic - Short Form,CAM37199 SAWICASTSF12B,Call Center Internal,6/22/2015,6/23/2015,1,2179.10
Treadclimber,Online Search,CAM37608 SAWICAOSBCT,Call Center Internal,6/22/2015,6/23/2015,1,136.61
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,6/22/2015,6/23/2015,1,3239.10
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Web,6/22/2015,6/23/2015,1,2179.10
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,6/22/2015,6/24/2015,2,2528.10
Treadclimber,Online Search,CAM36695 icaosgctgl1cat,Call Center Internal,6/22/2015,6/24/2015,1,2179.10
Treadclimber,Online Search,CAM37608 SAWICAOSBCT,Call Center Internal,6/22/2015,6/24/2015,1,3239.10
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Call Center Internal,6/22/2015,6/24/2015,1,2399.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,6/22/2015,6/24/2015,1,2179.09
Treadclimber,Print,CAM41203 PCCTIS0002,Call Center Internal,6/22/2015,6/24/2015,2,4358.20
Treadclimber,Online Display,CAM47235 SAWDODCTOT,Call Center Internal,6/22/2015,6/24/2015,2,3300.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,6/22/2015,6/24/2015,2,3588.10
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,6/22/2015,6/25/2015,1,2179.09
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,6/22/2015,6/25/2015,1,2179.10
Treadclimber,Online Search,CAM30841 icaosgctsl2,Call Center Internal,6/22/2015,6/26/2015,1,3239.09
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,6/22/2015,6/26/2015,1,3239.09
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,6/22/2015,6/27/2015,1,2179.10
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,6/22/2015,6/27/2015,1,2179.09
Treadclimber,Electronic - Short Form,CAM30971 icastsf09buytc,Web,6/22/2015,6/27/2015,1,2179.10
Treadclimber,Electronic - Short Form,CAM36732 icastsf12a,Web,6/22/2015,6/27/2015,1,2179.09
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,6/22/2015,6/27/2015,1,2179.10
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Call Center Internal,6/22/2015,6/28/2015,1,3239.10
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,6/22/2015,6/28/2015,2,5338.10
Treadclimber,Online Search,CAM40996 icaosbctgl1cat,Web,6/22/2015,6/28/2015,1,2598.99
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Web,6/22/2015,6/28/2015,1,2179.10
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,6/29/2015,6/29/2015,1,349.00
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,6/29/2015,6/29/2015,1,2179.10
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Call Center Internal,6/29/2015,6/29/2015,1,2179.10
Treadclimber,Electronic - Short Form,CAM47456 ICASTSF15B,Call Center Internal,6/29/2015,6/29/2015,1,2179.10
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,6/29/2015,6/29/2015,1,2179.10
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,6/29/2015,6/30/2015,1,2199.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,6/29/2015,6/30/2015,1,2179.10
Treadclimber,Short Form,CAM47777 CANCC60*ALOHAKST,Call Center Internal,6/29/2015,6/30/2015,1,2399.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,6/29/2015,6/30/2015,1,3239.09
