Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/4/2014,8/7/2014,2,2998.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/4/2014,8/7/2014,1,2999.00
Bowflex Home Gyms,Online Search,CAM37109 dosbigsl3,Web,8/4/2014,8/7/2014,1,2899.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/4/2014,8/7/2014,2,3518.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,8/4/2014,8/7/2014,2,1848.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/4/2014,8/8/2014,2,1348.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/4/2014,8/8/2014,2,39.96
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,8/4/2014,8/8/2014,1,1768.99
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,8/4/2014,8/8/2014,2,3199.26
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/4/2014,8/8/2014,4,8536.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,8/4/2014,8/8/2014,1,549.00
Bowflex Home Gyms,Electronic - Short Form,CAM4210 SAWWEBBF_BFX,Call Center Internal,8/4/2014,8/9/2014,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,8/4/2014,8/9/2014,1,2899.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/4/2014,8/9/2014,1,2899.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/4/2014,8/9/2014,1,2899.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/4/2014,8/9/2014,3,5065.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,8/4/2014,8/10/2014,2,4398.00
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,8/4/2014,8/10/2014,1,16.99
Bowflex Home Gyms,Online Search,CAM37434 dosg2gsl29,Web,8/4/2014,8/10/2014,1,2899.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,8/4/2014,8/10/2014,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/4/2014,8/10/2014,1,1499.00
