Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Max Trainer,Electronic - Short Form,CAM44215 SAWDSEESF14A,Call Center Internal,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Call Center Internal,1/12/2015,1/13/2015,4,6196.00
Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,1/12/2015,1/13/2015,11,15369.20
Bowflex Max Trainer,Electronic - UnSourced,CAM44236 SAWMAX,Call Center Internal,1/12/2015,1/13/2015,21,29101.10
Bowflex Max Trainer,Online Search,CAM44429 dosbiesl1,Call Center Internal,1/12/2015,1/13/2015,1,1599.00
Bowflex Max Trainer,Online Search,CAM44539 SAWDOSG2EMOBILE2,Call Center Internal,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,1/12/2015,1/13/2015,18,23782.00
Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,Call Center Internal,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,1/12/2015,1/13/2015,4,5246.00
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,1/12/2015,1/13/2015,28,37281.44
Bowflex Max Trainer,Online Display,CAM45737 SAWDODNETE,Call Center Internal,1/12/2015,1/13/2015,1,1599.00
Bowflex Max Trainer,Short Form,CAM46675 SPKEN120NYMAXTIC,Call Center Internal,1/12/2015,1/13/2015,2,3198.00
Bowflex Max Trainer,Short Form,CAM46677 ION*N120NYMAXTIC,Call Center Internal,1/12/2015,1/13/2015,1,1599.00
Bowflex Max Trainer,Short Form,CAM46681 SUNDN120NYMAXTIC,Call Center Internal,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Third Party Call Center - Evolve,1/12/2015,1/13/2015,1,1449.00
Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Third Party Call Center - Evolve,1/12/2015,1/13/2015,1,1449.00
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Third Party Call Center - Evolve,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Electronic - Short Form,CAM44172 dseesf14a,Web,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM44429 dosbiesl1,Web,1/12/2015,1/13/2015,13,19187.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44433 dege1sitemx,Web,1/12/2015,1/13/2015,27,39336.72
Bowflex Max Trainer,Online Search,CAM44435 dosg2egl1mx,Web,1/12/2015,1/13/2015,13,19386.97
Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,Web,1/12/2015,1/13/2015,22,31378.00
Bowflex Max Trainer,Online Search,CAM44520 dosbiegl1mx,Web,1/12/2015,1/13/2015,4,6396.00
Bowflex Max Trainer,Online Search,CAM44565 dosbiesl5,Web,1/12/2015,1/13/2015,1,1599.00
Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,Web,1/12/2015,1/13/2015,22,32227.99
Bowflex Max Trainer,Online Search,CAM44952 dosbieml1,Web,1/12/2015,1/13/2015,3,4197.00
Bowflex Max Trainer,Online Search,CAM45009 dosg2eml1,Web,1/12/2015,1/13/2015,6,9044.00
Bowflex Max Trainer,Online Video,CAM45400 DOVHULUEVL1,Web,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM45729 DOSG2ESL6,Web,1/12/2015,1/13/2015,1,1099.00
Bowflex Max Trainer,Online Search,CAM45730 DOSG2ESL7,Web,1/12/2015,1/13/2015,2,3098.00
Bowflex Max Trainer,Online Display,CAM45734 DODNETEDL2,Web,1/12/2015,1/13/2015,2,2998.00
Bowflex Max Trainer,Electronic - Short Form,CAM45798 DSEESF14H,Web,1/12/2015,1/13/2015,1,1099.00
Bowflex Max Trainer,Online Display,CAM46537 DODNETEDL3,Web,1/12/2015,1/13/2015,1,1599.00
Bowflex Max Trainer,Online Display,CAM46538 DODADCEDL5,Web,1/12/2015,1/13/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Call Center Internal,1/12/2015,1/14/2015,5,7195.00
Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,1/12/2015,1/14/2015,4,6076.20
Bowflex Max Trainer,Electronic - UnSourced,CAM44236 SAWMAX,Call Center Internal,1/12/2015,1/14/2015,10,13150.40
Bowflex Max Trainer,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,1/12/2015,1/14/2015,7,10893.00
Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,1/12/2015,1/14/2015,1,1599.00
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,1/12/2015,1/14/2015,27,39722.00
Bowflex Max Trainer,Short Form,CAM46677 ION*N120NYMAXTIC,Call Center Internal,1/12/2015,1/14/2015,2,3398.00
Bowflex Max Trainer,Short Form,CAM46687 VEL*N180NYMAXTIC,Call Center Internal,1/12/2015,1/14/2015,1,1099.00
Bowflex Max Trainer,Short Form,CAM46689 IDISN60*NYMAXTIC,Call Center Internal,1/12/2015,1/14/2015,1,1499.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44236 SAWMAX,Third Party Call Center - Evolve,1/12/2015,1/14/2015,2,2998.00
Bowflex Max Trainer,Online Search,CAM44539 SAWDOSG2EMOBILE2,Third Party Call Center - Evolve,1/12/2015,1/14/2015,1,1449.00
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Third Party Call Center - Evolve,1/12/2015,1/14/2015,3,4797.00
Bowflex Max Trainer,Electronic - Short Form,CAM44172 dseesf14a,Web,1/12/2015,1/14/2015,2,2998.00
Bowflex Max Trainer,Electronic - Short Form,CAM44191 dseesf14d,Web,1/12/2015,1/14/2015,1,1499.00
Bowflex Max Trainer,Electronic - Short Form,CAM44213 dseesf14b,Web,1/12/2015,1/14/2015,1,1499.00
