Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Core Body Reformer,Online Shopping,CAM35955 SAWDOFAPAY,Call Center Internal,6/16/2014,6/21/2014,1,1979.10
Core Body Reformer,Electronic - UnSourced,CAM35897 degynlsprodpage,Web,6/16/2014,6/22/2014,1,199.00
Core Body Reformer,Long Form,CAM37712 WVAHLINFCORE3EUR,Call Center Internal,6/23/2014,6/23/2014,1,479.20
Core Body Reformer,Long Form,CAM37712 WVAHLINFCORE3EUR,Call Center Internal,6/30/2014,7/3/2014,1,549.00
Core Body Reformer,Short Form,CAM41005 LIFEL60*FSIONTIC,Call Center Internal,6/30/2014,7/5/2014,1,1599.00
Core Body Reformer,Electronic - UnSourced,CAM35897 degynlsprodpage,Web,6/30/2014,7/6/2014,1,199.00
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,7/7/2014,7/8/2014,1,199.00
Core Body Reformer,Un-Sourced,CAM40822 1800COREBODY,Call Center Internal,7/7/2014,7/11/2014,1,129.95
Core Body Reformer,Online Shopping,CAM35955 SAWDOFAPAY,Call Center Internal,7/7/2014,7/12/2014,1,479.20
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,7/7/2014,7/13/2014,1,199.00
Core Body Reformer,Online,CAM35660 SAWNCIM0001,Call Center Internal,7/21/2014,7/23/2014,1,213.95
Core Body Reformer,Electronic - Long Form,CAM37626 dleylf2012a,Web,7/21/2014,7/24/2014,1,199.00
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,7/21/2014,7/26/2014,1,199.00
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,7/28/2014,7/30/2014,1,213.95
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,8/4/2014,8/4/2014,1,199.00
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,8/4/2014,8/8/2014,1,199.00
Core Body Reformer,Online Shopping,CAM35963 SAWDOFMSNY,Call Center Internal,8/11/2014,8/15/2014,1,1999.10
Core Body Reformer,Un-Sourced,CAM40822 1800COREBODY,Call Center Internal,8/18/2014,8/20/2014,1,199.00
Core Body Reformer,Online Shopping,CAM35975 SAWDOFSSTYY,Call Center Internal,8/18/2014,8/24/2014,1,3498.99
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,8/25/2014,8/26/2014,1,199.00
Core Body Reformer,Electronic - UnSourced,CAM35689 degyncr,Web,9/1/2014,9/1/2014,1,199.00
Core Body Reformer,Long Form,CAM37712 WVAHLINFCORE3EUR,Call Center Internal,9/1/2014,9/2/2014,1,1999.10
Core Body Reformer,Long Form,CAM37712 WVAHLINFCORE3EUR,Call Center Internal,9/1/2014,9/3/2014,1,349.00
