Internal ID,Transaction Number,Status
109053701,RA-130741,Pending Receipt
109249821,RA-131170,Pending Receipt
109440860,RA-131630,Pending Receipt
109444123,RA-131651,Pending Receipt
109463371,RA-131694,Pending Receipt
109522191,RA-131814,Pending Receipt
110023917,RA-132838,Pending Receipt
110135693,RA-133159,Pending Receipt
110578755,RA-134047,Pending Receipt
110660631,RA-134169,Pending Receipt
110854656,RA-134672,Pending Receipt
110874483,RA-134735,Pending Receipt
110906957,RA-134834,Pending Receipt
110906958,RA-134835,Pending Receipt
110946149,RA-134886,Pending Receipt
110975409,RA-134959,Pending Receipt
111018443,RA-135044,Pending Receipt
