Internal ID,Transaction Number,Status
89790901,RA-88339,Pending Receipt
89918675,RA-88759,Pending Receipt
90109875,RA-89018,Pending Receipt
90506384,RA-89363,Pending Receipt
91476322,RA-89922,Pending Receipt
91498437,RA-89949,Pending Receipt
91522029,RA-89973,Pending Receipt
91671355,RA-90098,Pending Receipt
91792740,RA-90236,Pending Receipt
91923302,RA-90282,Pending Receipt
91930433,RA-90300,Pending Receipt
92617425,RA-91370,Pending Receipt
92682118,RA-91516,Pending Refund/Partially Received
92820380,RA-91844,Pending Receipt
92828958,RA-91884,Pending Receipt
92884166,RA-92022,Pending Receipt
93173623,RA-92583,Pending Refund/Partially Received
93318438,RA-93112,Pending Receipt
93508640,RA-93482,Pending Receipt
93554620,RA-93629,Pending Receipt
94031152,RA-94461,Pending Receipt
