Internal ID,Transaction Number,Status
92617425,RA-91370,Pending Receipt
92820380,RA-91844,Pending Receipt
92828958,RA-91884,Pending Receipt
92884166,RA-92022,Pending Receipt
93260319,RA-92940,Pending Receipt
93508520,RA-93478,Pending Receipt
93518458,RA-93525,Pending Receipt
93554620,RA-93629,Pending Receipt
93737837,RA-93966,Pending Receipt
93928190,RA-94260,Pending Receipt
94068389,RA-94531,Pending Receipt
94331526,RA-95139,Pending Receipt
94427777,RA-95353,Pending Receipt
94429541,RA-95372,Pending Receipt
94431167,RA-95379,Pending Receipt
94431372,RA-95380,Pending Receipt
94431473,RA-95381,Pending Receipt
94431474,RA-95382,Pending Receipt
94969695,RA-96501,Pending Receipt
94972071,RA-96516,Pending Receipt
94974303,RA-96535,Pending Receipt
94979579,RA-96580,Pending Receipt
94979729,RA-96584,Pending Receipt
94980976,RA-96602,Pending Receipt
95108811,RA-96866,Pending Receipt
95194382,RA-97011,Pending Receipt
95315120,RA-97166,Pending Receipt
95316395,RA-97168,Pending Receipt
95362334,RA-97256,Pending Receipt
95455689,RA-97482,Pending Receipt
95600493,RA-97616,Pending Receipt
95601548,RA-97618,Pending Receipt
95639494,RA-97672,Pending Receipt
95652833,RA-97789,Pending Receipt
95682626,RA-97811,Pending Receipt
95728365,RA-97912,Pending Receipt
95730326,RA-97919,Pending Receipt
95731304,RA-97922,Pending Receipt
95731507,RA-97923,Pending Receipt
95731610,RA-97926,Pending Receipt
95788870,RA-98103,Pending Receipt
95795631,RA-98138,Pending Receipt
95881940,RA-98160,Pending Receipt
95890313,RA-98250,Pending Receipt
95894261,RA-98290,Pending Receipt
95898377,RA-98320,Pending Receipt
96021964,RA-98792,Pending Refund/Partially Received
96025865,RA-98833,Pending Receipt
96025972,RA-98836,Pending Receipt
