Internal ID,Transaction Number,Status
94068389,RA-94531,Pending Receipt
94331526,RA-95139,Pending Receipt
94969695,RA-96501,Pending Receipt
94972071,RA-96516,Pending Receipt
94979579,RA-96580,Pending Receipt
94979729,RA-96584,Pending Receipt
94980976,RA-96602,Pending Receipt
95108811,RA-96866,Pending Receipt
95194382,RA-97011,Pending Receipt
95652833,RA-97789,Pending Receipt
95728365,RA-97912,Pending Receipt
95731304,RA-97922,Pending Receipt
95731507,RA-97923,Pending Receipt
95788870,RA-98103,Pending Receipt
95894261,RA-98290,Pending Receipt
95900221,RA-98332,Pending Receipt
95976465,RA-98579,Pending Receipt
96035915,RA-98927,Pending Receipt
96083114,RA-99093,Pending Receipt
96231678,RA-99411,Partially Received
96434039,RA-99877,Pending Receipt
96518502,RA-100083,Pending Receipt
96739346,RA-100390,Pending Receipt
96745759,RA-100443,Pending Receipt
96786049,RA-100551,Pending Receipt
96836853,RA-100753,Pending Receipt
96870797,RA-100850,Pending Receipt
96907582,RA-100971,Pending Receipt
97011669,RA-101387,Pending Receipt
97049045,RA-101496,Pending Receipt
97051899,RA-101511,Pending Receipt
97081456,RA-101567,Pending Receipt
97081457,RA-101568,Pending Receipt
97217266,RA-101850,Pending Receipt
97224677,RA-101871,Pending Refund/Partially Received
97238071,RA-101979,Pending Receipt
97263263,RA-102049,Pending Receipt
97265720,RA-102059,Pending Receipt
97265736,RA-102060,Pending Receipt
97265944,RA-102062,Pending Receipt
97291767,RA-102132,Pending Receipt
97291769,RA-102134,Pending Receipt
97296743,RA-102158,Pending Receipt
97302113,RA-102181,Pending Receipt
97302218,RA-102182,Pending Receipt
97302226,RA-102183,Pending Receipt
97309545,RA-102247,Pending Receipt
97309664,RA-102252,Pending Receipt
97310074,RA-102254,Pending Refund/Partially Received
97330062,RA-102261,Pending Receipt
97374648,RA-102367,Pending Receipt
97381981,RA-102411,Pending Receipt
97393976,RA-102481,Pending Receipt
97469064,RA-102542,Pending Receipt
97469065,RA-102543,Pending Receipt
97476335,RA-102589,Pending Receipt
97607122,RA-102873,Pending Receipt
97738599,RA-103082,Pending Receipt
97779632,RA-103209,Pending Receipt
97789227,RA-103269,Pending Receipt
97792686,RA-103288,Pending Receipt
97823373,RA-103329,Pending Receipt
97824827,RA-103339,Pending Receipt
97900890,RA-103491,Pending Receipt
97906357,RA-103513,Pending Receipt
97920936,RA-103591,Pending Receipt
97935878,RA-103595,Pending Receipt
97938590,RA-103607,Pending Receipt
98016377,RA-103777,Pending Receipt
98039551,RA-103813,Pending Receipt
98042965,RA-103834,Pending Receipt
98050493,RA-103862,Pending Receipt
98052967,RA-103882,Pending Receipt
98078251,RA-103932,Pending Receipt
98080825,RA-103935,Pending Receipt
98083298,RA-103958,Pending Receipt
98086377,RA-103973,Pending Receipt
98096900,RA-103980,Pending Receipt
98097101,RA-103981,Pending Receipt
98097102,RA-103982,Pending Receipt
98108606,RA-104000,Pending Receipt
