Bowflex Max Trainer,Short Form,CAM48746 VEL*N120J14FSTIC,Call Center Internal,4/11/2016,4/14/2016,1,2199.00
Bowflex Max Trainer,Short Form,CAM48772 VEL*N180JACFSTIC,Call Center Internal,4/11/2016,4/14/2016,1,1698.00
Bowflex Max Trainer,Short Form,CAM48775 SUNDN180JACFSTIC,Call Center Internal,4/11/2016,4/14/2016,1,1599.00
Bowflex Max Trainer,Short Form,CAM48778 DTVSN60*J14FSTIC,Call Center Internal,4/11/2016,4/14/2016,1,3083.09
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,4/11/2016,4/14/2016,2,3198.00
Bowflex Selecttech Dumbbells,Un-Sourced,CAM40819 1800SELECTTECH,Call Center Internal,4/11/2016,4/14/2016,1,203.45
Bowflex Catalog,Un-Sourced,CAM40820 1800BFXCATALOG,Call Center Internal,4/11/2016,4/14/2016,0,.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,4/11/2016,4/14/2016,0,75.48
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,4/11/2016,4/14/2016,4,6186.59
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/11/2016,4/14/2016,10,11981.10
Bowflex Home Gyms,Electronic - Short Form,CAM27401 DEFAULTADID,Call Center Internal,4/11/2016,4/15/2016,2,4124.97
Bowflex Catalog,Electronic - Short Form,CAM34735 BFCMOBILE,Call Center Internal,4/11/2016,4/15/2016,0,28.36
Bowflex Max Trainer,Electronic - Short Form,CAM44215 SAWDSEESF14A,Call Center Internal,4/11/2016,4/15/2016,0,266.14
Treadclimber,Electronic - Short Form,CAM36608 dsetsf12a,Web,4/11/2016,4/15/2016,2,5013.19
Bowflex Max Trainer,Electronic - Short Form,CAM44172 dseesf14a,Web,4/11/2016,4/15/2016,1,1499.00
Bowflex Max Trainer,Electronic - Short Form,CAM45388 DSEESF14F,Web,4/11/2016,4/15/2016,1,1599.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM11920 SAWWEBST,Call Center Internal,4/11/2016,4/15/2016,2,1176.99
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Call Center Internal,4/11/2016,4/15/2016,2,848.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM23877 degd1sitest,Call Center Internal,4/11/2016,4/15/2016,1,2969.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,4/11/2016,4/15/2016,2,4943.77
Bowflex Max Trainer,Electronic - UnSourced,CAM44236 SAWMAX,Call Center Internal,4/11/2016,4/15/2016,14,20369.68
Bowflex Max Trainer,Electronic - UnSourced,CAM44433 dege1sitemx,Call Center Internal,4/11/2016,4/15/2016,1,1539.30
Bowflex Max Trainer,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,4/11/2016,4/15/2016,4,6854.07
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,4/11/2016,4/15/2016,1,349.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44236 SAWMAX,Third Party Call Center - Evolve,4/11/2016,4/15/2016,1,999.00
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Third Party Call Center - Evolve,4/11/2016,4/15/2016,1,2162.99
Treadclimber,Electronic - UnSourced,CAM16414 DEGBFTRC,Web,4/11/2016,4/15/2016,4,8116.40
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,4/11/2016,4/15/2016,0,148.97
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM23877 degd1sitest,Web,4/11/2016,4/15/2016,5,3369.98
Treadclimber,Electronic - UnSourced,CAM23879 degt1sitetc,Web,4/11/2016,4/15/2016,2,5017.18
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,4/11/2016,4/15/2016,4,7445.00
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,4/11/2016,4/15/2016,1,1399.00
Bowflex Max Trainer,Electronic - UnSourced,CAM41189 degemax,Web,4/11/2016,4/15/2016,15,24012.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44433 dege1sitemx,Web,4/11/2016,4/15/2016,12,19023.99
Treadclimber,Online,CAM6110 SAWGOOGTC,Call Center Internal,4/11/2016,4/15/2016,3,7870.25
Treadclimber,Online Display,CAM44227 SAWDODYTT,Call Center Internal,4/11/2016,4/15/2016,1,2387.09
Treadclimber,Online Display,CAM47235 SAWDODCTOT,Call Center Internal,4/11/2016,4/15/2016,1,349.00
Bowflex Selecttech Dumbbells,Online Display,CAM39081 dodrfddl1,Web,4/11/2016,4/15/2016,1,549.00
Bowflex Max Trainer,Online Display,CAM45910 DODADCEDL3,Web,4/11/2016,4/15/2016,1,2199.00
Bowflex Max Trainer,Online Display,CAM47251 DODCTOEDL2,Web,4/11/2016,4/15/2016,4,5605.00
Treadclimber,Online Display,CAM48928 DODSTLTDL8,Web,4/11/2016,4/15/2016,2,4058.20
Bowflex Max Trainer,Online Display,CAM49246 DODSTLEDL1,Web,4/11/2016,4/15/2016,2,4398.00
Bowflex Selecttech Dumbbells,Online Search,CAM30793 SAWDOSG2D,Call Center Internal,4/11/2016,4/15/2016,1,488.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,4/11/2016,4/15/2016,2,2962.46
Bowflex Selecttech Dumbbells,Online Search,CAM32678 dosg2dgl1st,Call Center Internal,4/11/2016,4/15/2016,1,548.00
Treadclimber,Online Search,CAM43683 dosbitsl14,Call Center Internal,4/11/2016,4/15/2016,1,2048.08
Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,4/11/2016,4/15/2016,15,25924.34
Bowflex Max Trainer,Online Search,CAM44539 SAWDOSG2EMOBILE2,Call Center Internal,4/11/2016,4/15/2016,2,2698.00
Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,4/11/2016,4/15/2016,1,1599.00
Bowflex Max Trainer,Online Search,CAM47151 DOSG2EML2,Call Center Internal,4/11/2016,4/15/2016,1,1049.00
Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Third Party Call Center - Evolve,4/11/2016,4/15/2016,2,2498.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,4/11/2016,4/15/2016,0,238.99
Treadclimber,Online Search,CAM31082 dosg2tgl1tc,Web,4/11/2016,4/15/2016,0,18.98
Bowflex Catalog,Online Search,CAM32376 dosg2csl1,Web,4/11/2016,4/15/2016,0,13.98
Bowflex Selecttech Dumbbells,Online Search,CAM32678 dosg2dgl1st,Web,4/11/2016,4/15/2016,1,1075.99
Treadclimber,Online Search,CAM37440 dosg2tsl21,Web,4/11/2016,4/15/2016,3,7295.28
Treadclimber,Online Search,CAM37493 dosbitsl6,Web,4/11/2016,4/15/2016,1,2108.06
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,4/11/2016,4/15/2016,4,218.89
Treadclimber,Online Search,CAM43666 dosg2tmobile4,Web,4/11/2016,4/15/2016,1,2029.10
Bowflex Max Trainer,Online Search,CAM44429 dosbiesl1,Web,4/11/2016,4/15/2016,5,7444.00
Bowflex Max Trainer,Online Search,CAM44435 dosg2egl1mx,Web,4/11/2016,4/15/2016,11,18950.00
Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,Web,4/11/2016,4/15/2016,12,19804.99
Bowflex Max Trainer,Online Search,CAM44520 dosbiegl1mx,Web,4/11/2016,4/15/2016,2,3407.00
Bowflex Max Trainer,Online Search,CAM44560 dosg2esl5,Web,4/11/2016,4/15/2016,2,3360.99
Bowflex Max Trainer,Online Search,CAM44567 dosg2esl3,Web,4/11/2016,4/15/2016,1,1698.00
