Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,10/3/2016,10/9/2016,3,5024.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,10/3/2016,10/9/2016,0,108.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,10/3/2016,10/9/2016,2,3157.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,10/3/2016,10/9/2016,0,99.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/3/2016,10/9/2016,2,3657.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/3/2016,10/9/2016,0,99.00
Treadclimber,Bowflex Max Trainer,Short Form,CAM46133 HISTL60*WLKMFTIC,Call Center Internal,10/3/2016,10/9/2016,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM47239 SAWDODCTOE,Call Center Internal,10/3/2016,10/9/2016,1,1208.00
Bowflex Home Gyms,Bowflex Max Trainer,Online Display,CAM47243 SAWDODCTOG,Call Center Internal,10/3/2016,10/9/2016,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM48200 SAWDOXFBESCODE,Call Center Internal,10/3/2016,10/9/2016,2,3907.00
Bowflex Max Trainer,Treadclimber,Online Social,CAM48200 SAWDOXFBESCODE,Call Center Internal,10/3/2016,10/9/2016,0,.00
Treadclimber,Bowflex Selecttech Dumbbells,Print,CAM48360 P0116FAMCIRONSRT,Call Center Internal,10/3/2016,10/9/2016,1,599.00
Treadclimber,Treadclimber,Online Search,CAM49424 DOSG2T,Call Center Internal,10/3/2016,10/9/2016,1,1888.99
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,10/3/2016,10/9/2016,1,349.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/3/2016,10/9/2016,2,3538.30
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/3/2016,10/9/2016,0,168.30
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM49688 SAWDOSBI,Call Center Internal,10/3/2016,10/9/2016,2,3157.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM49688 SAWDOSBI,Call Center Internal,10/3/2016,10/9/2016,1,488.00
Bowflex Brand,Treadclimber,Online Search,CAM49688 SAWDOSBI,Call Center Internal,10/3/2016,10/9/2016,0,99.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49742 VEL*N120MX100TIC,Call Center Internal,10/3/2016,10/9/2016,1,2158.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM49742 VEL*N120MX100TIC,Call Center Internal,10/3/2016,10/9/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49746 RELZN120MX100TIC,Call Center Internal,10/3/2016,10/9/2016,1,2158.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM49746 RELZN120MX100TIC,Call Center Internal,10/3/2016,10/9/2016,1,1874.00
Bowflex Brand,Bowflex Catalog,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,10/3/2016,10/9/2016,0,49.99
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,10/3/2016,10/9/2016,3,4766.93
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,10/3/2016,10/9/2016,36,59427.00
Bowflex Brand,Bowflex Revolution,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,10/3/2016,10/9/2016,1,3198.99
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,10/3/2016,10/9/2016,3,2024.99
Bowflex Brand,Bowflex UpperCut,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,10/3/2016,10/9/2016,0,17.90
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,10/3/2016,10/9/2016,6,14360.09
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM30755 dosg2gsl1,Web,10/3/2016,10/9/2016,0,164.98
Bowflex Brand,Bowflex Catalog,Online Search,CAM31081 dosg2gl1,Web,10/3/2016,10/9/2016,0,40.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31081 dosg2gl1,Web,10/3/2016,10/9/2016,0,699.98
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31081 dosg2gl1,Web,10/3/2016,10/9/2016,8,14860.00
