Internal ID,AdID PI,PI Purchased (Item PI),Market Channel,Ad ID,Media Agency,Origin,Order Week Monday,Order Date,Item,Kits,Value (Product + Shipping)
46290675,Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100131 BFX 552 Dumbbell Kit,1,299.00
46290775,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100469 BFX Max Trainer M7,1,1999.00
46290775,Bowflex Max Trainer,Treadclimber,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,10293 TRC Machine Mat,0,.00
46290877,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100359 BFX MAX TRAINER M5,1,1449.00
46291083,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM39441 dosbigl1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100359 BFX MAX TRAINER M5,1,1549.00
46291083,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM39441 dosbigl1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,IHA-100359 MAX TRAINER M5 Assembly,0,169.00
46291189,Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM50738 DSEESF17B,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100359 BFX MAX TRAINER M5,1,1549.00
46291289,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44564 dosbiesl4,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100358 BFX MAX TRAINER M3,1,1049.00
46291289,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44564 dosbiesl4,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100358-PS5 M3 Protection Plan - 5 years (90 Days),0,109.00
46291289,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44564 dosbiesl4,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,IHA-100358 MAX TRAINER M3 Assembly,0,169.00
46291493,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100359 BFX MAX TRAINER M5,1,1549.00
46291693,Bowflex HVT,Bowflex Max Trainer,Online Search,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100359 BFX MAX TRAINER M5,1,1549.00
46292093,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100358 BFX MAX TRAINER M3,1,1049.00
46292093,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100358-PS3 M3 Protection Plan - 3 years (90 Days),0,79.00
46292195,Bowflex Brand,Bowflex HVT,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100551 Bowflex HVT,1,1799.00
46292195,Bowflex Brand,Bowflex HVT,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,7/24/2017,7/25/2017,100551-PS5 HVT Protection Plan - 5 years (90 days),0,179.00
