Bowflex Brand,Results Treadmill,Online Social,CAM50565 DOXFBBRESPONSE,Internal,Web,8/28/2017,9/3/2017,100501 BFX BXT116 Treadmill,0,1598.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM50021 AFXXL60*MX101TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100469 BFX Max Trainer M7,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM50021 AFXXL60*MX101TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100469-PS5 M7 Protection Plan - 5 Years (90 Days),0,219.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM50021 AFXXL60*MX101TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,IHA-100469 BOWFLEX MAX TRAINER M7 ASSEMBLY,0,169.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM50021 AFXXL60*MX101TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,10293 TRC Machine Mat,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51906 IFC*N60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,1,1449.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51906 IFC*N60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100469 BFX Max Trainer M7,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51906 IFC*N60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,IHA-100359 MAX TRAINER M5 Assembly,0,169.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM51906 IFC*N60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,10293 TRC Machine Mat,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51909 BRNGN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,1,1119.30
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51909 BRNGN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359-PS5 M5 Protection Plan - 5 Years (90 Days),0,179.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51909 BRNGN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100469 BFX Max Trainer M7,2,3998.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51909 BRNGN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,IHA-100359 MAX TRAINER M5 Assembly,0,169.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM51909 BRNGN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,10293 TRC Machine Mat,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51914 WGNAN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,1,1449.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51914 WGNAN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359-PS3 M5 Protection Plan - 3 Years (90 Days),0,139.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51917 SPKEN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,1,1449.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51919 FOXNN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,4,5796.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51934 CMT*N60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100358 BFX MAX TRAINER M3,1,999.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51950 DTVEN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,2,2898.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM51950 DTVEN60*LDS17TIC,TouchPoint Integrated Communications,Call Center Internal,8/28/2017,9/3/2017,100359-PS3 M5 Protection Plan - 3 Years (90 Days),0,278.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Internal,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,1,1449.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Internal,Call Center Internal,8/28/2017,9/3/2017,100359-PS5 M5 Protection Plan - 5 Years (90 Days),0,179.00
Bowflex Home Gyms,Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,8/28/2017,9/3/2017,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,0,14.99
Bowflex Home Gyms,Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,8/28/2017,9/3/2017,100334 BFX XTREME 2SE HOME GYM,1,1199.00
Bowflex Home Gyms,Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,8/28/2017,9/3/2017,IHA-100334 Bowflex X2SE Home Gym Assembly,0,.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,8/28/2017,9/3/2017,100358 BFX MAX TRAINER M3,1,999.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,8/28/2017,9/3/2017,100359 BFX MAX TRAINER M5,3,4347.00
