Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM40992 icaosbcgl1,Web,12/12/2016,12/14/2016,1,1087.00
Bowflex Brand,Treadclimber,Online Search,CAM40992 icaosbcgl1,Web,12/12/2016,12/14/2016,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,12/12/2016,12/14/2016,1,699.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,12/12/2016,12/14/2016,8,13610.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,12/12/2016,12/14/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45628 ICAOSBCESL2,Web,12/12/2016,12/14/2016,1,1799.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45628 ICAOSBCESL2,Web,12/12/2016,12/14/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45848 ICAOSBCESL8,Web,12/12/2016,12/14/2016,1,1299.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,12/12/2016,12/14/2016,1,1799.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,12/12/2016,12/14/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,12/12/2016,12/14/2016,4,7396.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,12/12/2016,12/14/2016,0,.00
Treadclimber,Treadclimber,Online Social,CAM50008 ICAOXFBTSCODEBFCM16,Web,12/12/2016,12/14/2016,1,2998.99
Treadclimber,Bowflex Max Trainer,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,12/12/2016,12/14/2016,1,2157.00
Treadclimber,Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,12/12/2016,12/14/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49772 DISAN60*HUNNYTIC,Call Center Internal,12/12/2016,12/14/2016,1,1799.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM49772 DISAN60*HUNNYTIC,Call Center Internal,12/12/2016,12/14/2016,0,.00
Treadclimber,Bowflex Max Trainer,Short Form,CAM49913 BRNGN120DANYETIC,Call Center Internal,12/12/2016,12/14/2016,1,2887.00
Treadclimber,Treadclimber,Short Form,CAM49913 BRNGN120DANYETIC,Call Center Internal,12/12/2016,12/14/2016,0,.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,12/12/2016,12/14/2016,1,1799.00
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,12/12/2016,12/14/2016,0,.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,12/12/2016,12/14/2016,1,1799.00
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,12/12/2016,12/14/2016,0,.00
Treadclimber,Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,12/12/2016,12/14/2016,1,2362.99
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,12/12/2016,12/14/2016,2,3727.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,12/12/2016,12/14/2016,0,.00
Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Electronic - Short Form,CAM44215 SAWDSEESF14A,Call Center Internal,12/12/2016,12/15/2016,1,869.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Call Center Internal,12/12/2016,12/15/2016,1,1799.00
Bowflex Max Trainer,Treadclimber,Electronic - Short Form,CAM45694 ICASESF14B,Call Center Internal,12/12/2016,12/15/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Web,12/12/2016,12/15/2016,2,4497.00
Bowflex Max Trainer,Treadclimber,Electronic - Short Form,CAM45694 ICASESF14B,Web,12/12/2016,12/15/2016,0,.00
Treadclimber,Bowflex Home Gyms,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,12/12/2016,12/15/2016,1,1549.00
Treadclimber,Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,12/12/2016,12/15/2016,1,2099.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,12/12/2016,12/15/2016,3,5397.00
Bowflex Max Trainer,Treadclimber,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,12/12/2016,12/15/2016,0,.00
Bowflex Brand,- None -,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,12/12/2016,12/15/2016,0,141.75
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,12/12/2016,12/15/2016,2,4006.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,12/12/2016,12/15/2016,1,449.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,12/12/2016,12/15/2016,0,.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,12/12/2016,12/15/2016,1,2499.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,12/12/2016,12/15/2016,0,.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,12/12/2016,12/15/2016,1,1848.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,12/12/2016,12/15/2016,10,19966.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,12/12/2016,12/15/2016,3,2365.99
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,12/12/2016,12/15/2016,1,3299.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM48951 ICAODRFEDL1,Web,12/12/2016,12/15/2016,1,1299.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,12/12/2016,12/15/2016,2,4745.00
Bowflex Brand,Treadclimber,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,12/12/2016,12/15/2016,0,.00
Treadclimber,Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,12/12/2016,12/15/2016,1,3299.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,12/12/2016,12/15/2016,1,1799.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,12/12/2016,12/15/2016,0,.00
Treadclimber,Bowflex Selecttech Dumbbells,Online Search,CAM30841 icaosgctsl2,Web,12/12/2016,12/15/2016,1,668.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,Web,12/12/2016,12/15/2016,0,118.99
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,12/12/2016,12/15/2016,4,7525.00
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,Web,12/12/2016,12/15/2016,0,.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,Web,12/12/2016,12/15/2016,1,1199.00
Bowflex Brand,Treadclimber,Online Search,CAM40992 icaosbcgl1,Web,12/12/2016,12/15/2016,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,12/12/2016,12/15/2016,1,449.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,12/12/2016,12/15/2016,8,14821.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,12/12/2016,12/15/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45628 ICAOSBCESL2,Web,12/12/2016,12/15/2016,1,1799.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45628 ICAOSBCESL2,Web,12/12/2016,12/15/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45841 ICAOSGCESL8,Web,12/12/2016,12/15/2016,1,1199.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45841 ICAOSGCESL8,Web,12/12/2016,12/15/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM47271 ICAOSGCESL10,Web,12/12/2016,12/15/2016,1,1288.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM47271 ICAOSGCESL10,Web,12/12/2016,12/15/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,12/12/2016,12/15/2016,3,5155.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,12/12/2016,12/15/2016,0,.00
Treadclimber,Treadclimber,Online Social,CAM50008 ICAOXFBTSCODEBFCM16,Web,12/12/2016,12/15/2016,2,4198.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM50190 ICAOXFBESCODEBFCM16,Web,12/12/2016,12/15/2016,2,3598.00
Bowflex Max Trainer,Treadclimber,Online Social,CAM50190 ICAOXFBESCODEBFCM16,Web,12/12/2016,12/15/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM48963 ODORN60*J14FSTIC,Call Center Internal,12/12/2016,12/15/2016,1,1958.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM48963 ODORN60*J14FSTIC,Call Center Internal,12/12/2016,12/15/2016,0,.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,12/12/2016,12/15/2016,2,3698.00
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,12/12/2016,12/15/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,12/12/2016,12/15/2016,2,3727.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,12/12/2016,12/15/2016,0,.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,12/12/2016,12/16/2016,1,1199.00
