Lead PI,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Catalog,CAM47779 DCBHOMESUMOFFR15,,12/3/2015,11/30/2015,1,Catalog,Web
Bowflex Revolution,CAM47779 DCBHOMESUMOFFR15,,12/3/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM47779 DCBHOMESUMOFFR15,,12/4/2015,11/30/2015,2,Catalog,Web
Bowflex Home Gyms,CAM47779 DCBHOMESUMOFFR15,,12/4/2015,11/30/2015,1,Catalog,Web
Bowflex Selecttech Dumbbells,CAM47779 DCBHOMESUMOFFR15,,12/4/2015,11/30/2015,1,Catalog,Web
Bowflex Home Gyms,CAM47779 DCBHOMESUMOFFR15,,12/6/2015,11/30/2015,1,Catalog,Web
Bowflex Selecttech Dumbbells,CAM47779 DCBHOMESUMOFFR15,,12/6/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM48037 DCBHOMEFALOFFR15,,12/3/2015,11/30/2015,2,Catalog,Web
Bowflex Max Trainer,CAM48037 DCBHOMEFALOFFR15,,12/3/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM48037 DCBHOMEFALOFFR15,12/4/2015,12/4/2015,11/30/2015,3,Catalog,Web
Bowflex Catalog,CAM48037 DCBHOMEFALOFFR15,,12/4/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM48037 DCBHOMEFALOFFR15,12/5/2015,12/5/2015,11/30/2015,2,Catalog,Web
Bowflex Catalog,CAM48037 DCBHOMEFALOFFR15,,12/5/2015,11/30/2015,3,Catalog,Web
Bowflex Catalog,CAM48037 DCBHOMEFALOFFR15,12/6/2015,12/6/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,12/3/2015,12/3/2015,11/30/2015,3,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,,12/3/2015,11/30/2015,10,Catalog,Web
Bowflex Max Trainer,CAM48492 DCBHOMEHOL15,,12/3/2015,11/30/2015,2,Catalog,Web
Bowflex UpperCut,CAM48492 DCBHOMEHOL15,,12/3/2015,11/30/2015,2,Catalog,Web
Treadclimber,CAM48492 DCBHOMEHOL15,,12/3/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,12/4/2015,12/4/2015,11/30/2015,4,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,,12/4/2015,11/30/2015,10,Catalog,Web
Bowflex Max Trainer,CAM48492 DCBHOMEHOL15,,12/4/2015,11/30/2015,2,Catalog,Web
Bowflex Selecttech Dumbbells,CAM48492 DCBHOMEHOL15,,12/4/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,12/5/2015,12/5/2015,11/30/2015,5,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,,12/5/2015,11/30/2015,14,Catalog,Web
Bowflex Home Gyms,CAM48492 DCBHOMEHOL15,,12/5/2015,11/30/2015,1,Catalog,Web
Bowflex Max Trainer,CAM48492 DCBHOMEHOL15,,12/5/2015,11/30/2015,7,Catalog,Web
Bowflex Selecttech Dumbbells,CAM48492 DCBHOMEHOL15,,12/5/2015,11/30/2015,1,Catalog,Web
Treadclimber,CAM48492 DCBHOMEHOL15,,12/5/2015,11/30/2015,2,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,12/6/2015,12/6/2015,11/30/2015,3,Catalog,Web
Bowflex Body,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,1,Catalog,Web
Bowflex Catalog,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,19,Catalog,Web
Bowflex Home Gyms,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,2,Catalog,Web
Bowflex Max Trainer,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,5,Catalog,Web
Bowflex Selecttech Dumbbells,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,2,Catalog,Web
Bowflex UpperCut,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,1,Catalog,Web
Treadclimber,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,1,Catalog,Web
Universal,CAM48492 DCBHOMEHOL15,,12/6/2015,11/30/2015,1,Catalog,Web
Treadclimber,CAM36797 dpetprint12a,12/3/2015,12/3/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM36797 dpetprint12a,12/4/2015,12/4/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM36924 dpetprint12c,12/3/2015,12/3/2015,11/30/2015,5,Electronic - Print,Web
Treadclimber,CAM36924 dpetprint12c,12/4/2015,12/4/2015,11/30/2015,2,Electronic - Print,Web
Treadclimber,CAM36924 dpetprint12c,,12/4/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM36924 dpetprint12c,12/5/2015,12/5/2015,11/30/2015,4,Electronic - Print,Web
Treadclimber,CAM36924 dpetprint12c,,12/5/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM37269 dpetprint12d,12/3/2015,12/3/2015,11/30/2015,3,Electronic - Print,Web
Treadclimber,CAM37269 dpetprint12d,12/4/2015,12/4/2015,11/30/2015,5,Electronic - Print,Web
Treadclimber,CAM37269 dpetprint12d,12/5/2015,12/5/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM37579 dpetprint12e,12/3/2015,12/3/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM37579 dpetprint12e,12/4/2015,12/4/2015,11/30/2015,3,Electronic - Print,Web
Treadclimber,CAM38405 dpetprint12g,12/3/2015,12/3/2015,11/30/2015,4,Electronic - Print,Web
Treadclimber,CAM38405 dpetprint12g,12/4/2015,12/4/2015,11/30/2015,2,Electronic - Print,Web
Treadclimber,CAM38405 dpetprint12g,12/5/2015,12/5/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM38405 dpetprint12g,12/6/2015,12/6/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM38406 SAWDPETPRINT12F,,12/3/2015,11/30/2015,1,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM38406 SAWDPETPRINT12F,,12/6/2015,11/30/2015,1,Electronic - Print,Call Center Internal
Treadclimber,CAM38406 SAWDPETPRINT12F,,12/6/2015,11/30/2015,1,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM44170 dpeeprint13a,12/3/2015,12/3/2015,11/30/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM44170 dpeeprint13a,12/4/2015,12/4/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM44504 dpetprint14b,12/4/2015,12/4/2015,11/30/2015,2,Electronic - Print,Web
Treadclimber,CAM44504 dpetprint14b,12/5/2015,12/5/2015,11/30/2015,4,Electronic - Print,Web
Treadclimber,CAM44504 dpetprint14b,12/6/2015,12/6/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM44523 dpetprint14a,12/3/2015,12/3/2015,11/30/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45561 DPEEPRINT14B,12/3/2015,12/3/2015,11/30/2015,2,Electronic - Print,Web
Bowflex Max Trainer,CAM45561 DPEEPRINT14B,12/4/2015,12/4/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM46559 DPETPRINT15A,12/3/2015,12/3/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM46559 DPETPRINT15A,12/5/2015,12/5/2015,11/30/2015,1,Electronic - Print,Web
Treadclimber,CAM16426 DSETDIR,12/3/2015,12/3/2015,11/30/2015,267,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/4/2015,12/3/2015,11/30/2015,3,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/6/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/15/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/16/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,2/14/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,,12/3/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/4/2015,12/4/2015,11/30/2015,87,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/9/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,,12/4/2015,11/30/2015,6,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/5/2015,12/5/2015,11/30/2015,56,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/14/2015,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,,12/5/2015,11/30/2015,7,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,12/6/2015,12/6/2015,11/30/2015,76,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,1/24/2016,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,,12/6/2015,11/30/2015,8,Electronic - Short Form,Web
Treadclimber,CAM36075 dsetsf11a,12/3/2015,12/3/2015,11/30/2015,25,Electronic - Short Form,Web
Treadclimber,CAM36075 dsetsf11a,,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36075 dsetsf11a,12/4/2015,12/4/2015,11/30/2015,11,Electronic - Short Form,Web
Treadclimber,CAM36075 dsetsf11a,12/5/2015,12/5/2015,11/30/2015,4,Electronic - Short Form,Web
Treadclimber,CAM36075 dsetsf11a,12/6/2015,12/6/2015,11/30/2015,10,Electronic - Short Form,Web
Treadclimber,CAM36075 dsetsf11a,,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36077 dsetsf11c,12/3/2015,12/3/2015,11/30/2015,85,Electronic - Short Form,Web
Treadclimber,CAM36077 dsetsf11c,12/4/2015,12/4/2015,11/30/2015,3,Electronic - Short Form,Web
Treadclimber,CAM36077 dsetsf11c,12/5/2015,12/5/2015,11/30/2015,7,Electronic - Short Form,Web
Treadclimber,CAM36077 dsetsf11c,12/6/2015,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36077 dsetsf11c,,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36077 dsetsf11c,12/6/2015,12/6/2015,11/30/2015,8,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,12/3/2015,12/3/2015,11/30/2015,88,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,12/4/2015,12/4/2015,11/30/2015,54,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,12/7/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,12/5/2015,12/5/2015,11/30/2015,34,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,12/6/2015,12/6/2015,11/30/2015,28,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,12/7/2015,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36078 dsetsf11d,,12/6/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/3/2015,12/3/2015,11/30/2015,302,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/4/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/9/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/10/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/11/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,1/18/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,,12/3/2015,11/30/2015,3,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/4/2015,12/4/2015,11/30/2015,259,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/12/2015,12/4/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,,12/4/2015,11/30/2015,6,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/5/2015,12/5/2015,11/30/2015,76,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,2/3/2016,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,2/7/2016,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Catalog,CAM36079 dsetsf11e,,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,,12/5/2015,11/30/2015,3,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/6/2015,12/6/2015,11/30/2015,116,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,12/7/2015,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36079 dsetsf11e,,12/6/2015,11/30/2015,11,Electronic - Short Form,Web
Treadclimber,CAM36080 dsetsf11f,12/4/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM36104 SAWSF11E,,12/4/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Revolution,CAM36104 SAWSF11E,,12/4/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36104 SAWSF11E,,12/4/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36298 dsetsf11g,12/3/2015,12/3/2015,11/30/2015,229,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/4/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/14/2015,12/3/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,2/3/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,2/10/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,,12/3/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/4/2015,12/4/2015,11/30/2015,54,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/19/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,1/1/2016,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,,12/4/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/5/2015,12/5/2015,11/30/2015,9,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/10/2015,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,,12/5/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/6/2015,12/6/2015,11/30/2015,22,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,12/13/2015,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,,12/6/2015,11/30/2015,3,Electronic - Short Form,Web
Treadclimber,CAM36605 SAWSF12A,12/4/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36605 SAWSF12A,12/5/2015,12/5/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36608 dsetsf12a,12/3/2015,12/3/2015,11/30/2015,685,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/4/2015,12/3/2015,11/30/2015,7,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/7/2015,12/3/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/9/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/11/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/13/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/16/2015,12/3/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/17/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,1/30/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,2/16/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,2/25/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Catalog,CAM36608 dsetsf12a,12/4/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/4/2015,12/4/2015,11/30/2015,369,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/7/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/8/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/15/2015,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,1/9/2016,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,,12/4/2015,11/30/2015,6,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/5/2015,12/5/2015,11/30/2015,206,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/6/2015,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/7/2015,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/12/2015,12/5/2015,11/30/2015,2,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/6/2015,12/6/2015,11/30/2015,194,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/7/2015,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,12/13/2015,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Body,CAM36608 dsetsf12a,,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,,12/6/2015,11/30/2015,10,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/3/2015,12/3/2015,11/30/2015,606,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/4/2015,12/3/2015,11/30/2015,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/6/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/11/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/14/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/19/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,1/28/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,2/14/2016,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,12/3/2015,11/30/2015,10,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/4/2015,12/4/2015,11/30/2015,112,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,2/18/2016,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,12/4/2015,11/30/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/5/2015,12/5/2015,11/30/2015,81,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,12/5/2015,11/30/2015,12,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,12/6/2015,12/6/2015,11/30/2015,86,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,12/6/2015,11/30/2015,13,Electronic - Short Form,Web
Treadclimber,CAM44172 dseesf14a,,12/6/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44187 dseesf14c,12/3/2015,12/3/2015,11/30/2015,33,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44187 dseesf14c,12/4/2015,12/4/2015,11/30/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44187 dseesf14c,12/5/2015,12/5/2015,11/30/2015,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44187 dseesf14c,12/6/2015,12/6/2015,11/30/2015,35,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44187 dseesf14c,,12/6/2015,11/30/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,12/3/2015,12/3/2015,11/30/2015,109,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,12/4/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,12/4/2015,12/4/2015,11/30/2015,25,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,2/26/2016,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,12/4/2015,11/30/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,12/5/2015,12/5/2015,11/30/2015,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,12/6/2015,12/6/2015,11/30/2015,11,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,,12/6/2015,11/30/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,12/3/2015,12/3/2015,11/30/2015,47,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,12/7/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,12/13/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,12/4/2015,12/4/2015,11/30/2015,9,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,12/5/2015,12/5/2015,11/30/2015,10,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,,12/5/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,12/6/2015,12/6/2015,11/30/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,,12/6/2015,11/30/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,12/3/2015,12/3/2015,11/30/2015,2,Electronic - Short Form,Call Center Internal
Bowflex Catalog,CAM44215 SAWDSEESF14A,,12/3/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,12/3/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Body,CAM44215 SAWDSEESF14A,,12/4/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Catalog,CAM44215 SAWDSEESF14A,,12/4/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,12/4/2015,11/30/2015,2,Electronic - Short Form,Call Center Internal
Bowflex UpperCut,CAM44215 SAWDSEESF14A,,12/4/2015,11/30/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44217 SAWDSEESF14C,12/6/2015,12/6/2015,11/30/2015,1,Electronic - Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM45387 DSEESF14E,12/3/2015,12/3/2015,11/30/2015,9,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,12/4/2015,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,,12/3/2015,11/30/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,12/4/2015,12/4/2015,11/30/2015,10,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,,12/4/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,12/5/2015,12/5/2015,11/30/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45387 DSEESF14E,12/6/2015,12/6/2015,11/30/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,12/3/2015,12/3/2015,11/30/2015,36,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,12/4/2015,12/4/2015,11/30/2015,11,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,12/5/2015,12/5/2015,11/30/2015,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,12/5/2015,11/30/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,12/6/2015,12/6/2015,11/30/2015,8,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45797 DSEESF14G,12/3/2015,12/3/2015,11/30/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,12/3/2015,12/3/2015,11/30/2015,81,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,12/4/2015,12/3/2015,11/30/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,,12/3/2015,11/30/2015,3,Electronic - Short Form,Web
Treadclimber,CAM45798 DSEESF14H,,12/3/2015,11/30/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,12/4/2015,12/4/2015,11/30/2015,32,Electronic - Short Form,Web
