Treadclimber,CAM32123 dofg2tfeed1,,3/6/2017,3/6/2017,2,Online Shopping,Web
Bowflex Body,CAM32595 SAWDOSBIT,,3/6/2017,3/6/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM32595 SAWDOSBIT,,3/6/2017,3/6/2017,1,Online Search,Call Center Internal
Treadclimber,CAM32595 SAWDOSBIT,3/6/2017,3/6/2017,3/6/2017,1,Online Search,Call Center Internal
Treadclimber,CAM32595 SAWDOSBIT,,3/6/2017,3/6/2017,1,Online Search,Call Center Internal
Bowflex Selecttech Dumbbells,CAM34643 dodg2ddl1,,3/6/2017,3/6/2017,1,Online Display,Web
Bowflex Revolution,CAM34644 dodg2gdl1,,3/6/2017,3/6/2017,1,Online Display,Web
Treadclimber,CAM34925 SAWDODBETT,,3/6/2017,3/6/2017,1,Online Display,Call Center Internal
Treadclimber,CAM35313 dodg2tdl1,,3/6/2017,3/6/2017,1,Online Display,Web
Treadclimber,CAM36077 dsetsf11c,,3/6/2017,3/6/2017,1,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,,3/6/2017,3/6/2017,1,Electronic - Short Form,Web
Treadclimber,CAM36797 dpetprint12a,3/6/2017,3/6/2017,3/6/2017,1,Electronic - Print,Web
Treadclimber,CAM36924 dpetprint12c,3/6/2017,3/6/2017,3/6/2017,1,Electronic - Print,Web
Bowflex Selecttech Dumbbells,CAM37112 dosg2dsl11,,3/6/2017,3/6/2017,1,Online Search,Web
Bowflex Catalog,CAM37148 dosg2dsl12,3/6/2017,3/6/2017,3/6/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,,3/6/2017,3/6/2017,3,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,,3/6/2017,3/6/2017,3,Online Search,Web
Bowflex Home Gyms,CAM37432 dosg2dsl18,,3/6/2017,3/6/2017,1,Online Search,Web
