Bowflex Max Trainer,CAM51503 HICNN60*M350CTIC,7/23/2017,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51515 PURSN60*M350CTIC,7/23/2017,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Treadclimber,CAM51515 PURSN60*M350CTIC,,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51520 VICAN60*M350CTIC,7/23/2017,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51523 IFC*N60*M350STIC,7/23/2017,7/23/2017,7/17/2017,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51523 IFC*N60*M350STIC,,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51526 BRNGN60*M350STIC,,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51528 GRITN60*M350STIC,7/23/2017,7/23/2017,7/17/2017,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51530 DISAN60*M350STIC,7/23/2017,7/23/2017,7/17/2017,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51536 FOXNN60*M350STIC,7/23/2017,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51536 FOXNN60*M350STIC,,7/23/2017,7/17/2017,4,Short Form,Call Center Internal
Treadclimber,CAM51536 FOXNN60*M350STIC,,7/23/2017,7/17/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51536 FOXNN60*M350STIC,7/23/2017,7/23/2017,7/17/2017,1,Short Form,Third Party Call Center - Evolve
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,7/24/2017,7/24/2017,7/24/2017,3,Electronic - UnSourced,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,,7/24/2017,7/24/2017,2,Electronic - UnSourced,Call Center Internal
Bowflex Brand,CAM16616 DEGBFBHG,,7/24/2017,7/24/2017,21,Electronic - UnSourced,Web
Bowflex Catalog,CAM16616 DEGBFBHG,7/24/2017,7/24/2017,7/24/2017,1,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,7/24/2017,7/24/2017,7/24/2017,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,7/24/2017,7/24/2017,7/24/2017,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,7/24/2017,7/24/2017,35,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,7/24/2017,7/24/2017,7/24/2017,5,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,,7/24/2017,7/24/2017,24,Electronic - UnSourced,Web
Bowflex Revolution,CAM16616 DEGBFBHG,,7/24/2017,7/24/2017,3,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,,7/24/2017,7/24/2017,13,Electronic - UnSourced,Web
Results Treadmill,CAM16616 DEGBFBHG,,7/24/2017,7/24/2017,3,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,,7/24/2017,7/24/2017,9,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,7/24/2017,7/24/2017,5,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,,7/24/2017,7/24/2017,2,Un-Sourced,Call Center Internal
Bowflex Revolution,CAM28157 SALESFOLLOWUP,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM28157 SALESFOLLOWUP,,7/24/2017,7/24/2017,2,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM30753 dosg2dsl5,,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,,7/24/2017,7/24/2017,7,Online Search,Call Center Internal
Bowflex Max Trainer,CAM30796 SAWDOSG2G,,7/24/2017,7/24/2017,2,Online Search,Call Center Internal
Schwinn,CAM30796 SAWDOSG2G,,7/24/2017,7/24/2017,1,Online Search,Call Center Internal
Treadclimber,CAM30796 SAWDOSG2G,,7/24/2017,7/24/2017,1,Online Search,Call Center Internal
Bowflex Brand,CAM31081 dosg2gl1,,7/24/2017,7/24/2017,5,Online Search,Web
Bowflex HVT,CAM31081 dosg2gl1,,7/24/2017,7/24/2017,5,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,,7/24/2017,7/24/2017,20,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,7/24/2017,7/24/2017,7/24/2017,3,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,,7/24/2017,7/24/2017,15,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,,7/24/2017,7/24/2017,6,Online Search,Web
Results Treadmill,CAM31081 dosg2gl1,,7/24/2017,7/24/2017,2,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,,7/24/2017,7/24/2017,7,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,,7/24/2017,7/24/2017,2,Online Shopping,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,,7/24/2017,7/24/2017,2,Online Shopping,Web
Bowflex Home Gyms,CAM32080 SAWDOFG2G,,7/24/2017,7/24/2017,1,Online Shopping,Call Center Internal
Bowflex Selecttech Dumbbells,CAM32080 SAWDOFG2G,,7/24/2017,7/24/2017,1,Online Shopping,Call Center Internal
Results Treadmill,CAM32080 SAWDOFG2G,,7/24/2017,7/24/2017,1,Online Shopping,Call Center Internal
Results Treadmill,CAM32123 dofg2tfeed1,,7/24/2017,7/24/2017,1,Online Shopping,Web
Treadclimber,CAM32123 dofg2tfeed1,,7/24/2017,7/24/2017,4,Online Shopping,Web
Bowflex Home Gyms,CAM34631 SAWDODG2G,,7/24/2017,7/24/2017,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM34631 SAWDODG2G,,7/24/2017,7/24/2017,1,Online Display,Call Center Internal
Treadclimber,CAM34631 SAWDODG2G,,7/24/2017,7/24/2017,1,Online Display,Call Center Internal
Bowflex Selecttech Dumbbells,CAM34643 dodg2ddl1,,7/24/2017,7/24/2017,1,Online Display,Web
Bowflex HVT,CAM34644 dodg2gdl1,,7/24/2017,7/24/2017,1,Online Display,Web
Treadclimber,CAM35313 dodg2tdl1,,7/24/2017,7/24/2017,1,Online Display,Web
Treadclimber,CAM36194 dosg2tsl1,,7/24/2017,7/24/2017,2,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37112 dosg2dsl11,,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Catalog,CAM37117 dosg2gsl27,7/24/2017,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Home Gyms,CAM37117 dosg2gsl27,,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37432 dosg2dsl18,7/24/2017,7/24/2017,7/24/2017,1,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,,7/24/2017,7/24/2017,5,Online Search,Web
Treadclimber,CAM37655 dosbitsl10,,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex HVT,CAM37743 dosbigsl6,7/24/2017,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Home Gyms,CAM37743 dosbigsl6,,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Brand,CAM39441 dosbigl1,,7/24/2017,7/24/2017,5,Online Search,Web
Bowflex HVT,CAM39441 dosbigl1,7/24/2017,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex HVT,CAM39441 dosbigl1,,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,7/24/2017,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,,7/24/2017,7/24/2017,3,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,,7/24/2017,7/24/2017,3,Online Search,Web
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,,7/24/2017,7/24/2017,2,Online Search,Web
Treadclimber,CAM39441 dosbigl1,,7/24/2017,7/24/2017,2,Online Search,Web
Bowflex Selecttech Dumbbells,CAM40819 1800SELECTTECH,7/24/2017,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM40819 1800SELECTTECH,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Bowflex HVT,CAM40821 1800BOWFLEX,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM40821 1800BOWFLEX,,7/24/2017,7/24/2017,3,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM40821 1800BOWFLEX,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM40821 1800BOWFLEX,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Results Treadmill,CAM40821 1800BOWFLEX,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40821 1800BOWFLEX,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40825 1800TREADCLIMBER,7/24/2017,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40825 1800TREADCLIMBER,,7/24/2017,7/24/2017,3,Un-Sourced,Call Center Internal
Treadclimber,CAM43683 dosbitsl14,7/24/2017,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,7/24/2017,7/24/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,7/24/2017,7/24/2017,7/24/2017,3,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,,7/24/2017,7/24/2017,3,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,7/24/2017,7/24/2017,7/24/2017,5,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,7/25/2017,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,,7/24/2017,7/24/2017,18,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,,7/24/2017,7/24/2017,3,Online Search,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,7/24/2017,7/24/2017,7/24/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,7/24/2017,7/24/2017,7/24/2017,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44887 dofg2efeed1,7/24/2017,7/24/2017,7/24/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,7/24/2017,7/24/2017,17,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM44887 dofg2efeed1,7/24/2017,7/24/2017,7/24/2017,1,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,,7/24/2017,7/24/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,,7/24/2017,7/24/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,7/24/2017,7/24/2017,7/24/2017,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,7/24/2017,7/24/2017,3,Un-Sourced,Call Center Internal
Schwinn,CAM45327 1800MAXTRAINER,,7/24/2017,7/24/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,,7/24/2017,7/24/2017,2,Un-Sourced,Call Center Internal
