Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM29862 icawbowflexca,,11/1/2016,10/31/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM29862 icawbowflexca,,11/1/2016,10/31/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Brand,CAM29862 icawbowflexca,,11/1/2016,10/31/2016,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,11/1/2016,11/1/2016,10/31/2016,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,,11/1/2016,10/31/2016,7,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,11/1/2016,11/1/2016,10/31/2016,2,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,,11/1/2016,10/31/2016,6,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM29862 icawbowflexca,,11/1/2016,10/31/2016,2,Electronic - UnSourced,Web
Treadclimber,CAM29862 icawbowflexca,11/1/2016,11/1/2016,10/31/2016,2,Electronic - UnSourced,Web
Treadclimber,CAM29862 icawbowflexca,,11/1/2016,10/31/2016,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,,11/1/2016,10/31/2016,2,Online Search,Call Center Internal
Schwinn,CAM30891 SAWICAOSGCW,,11/1/2016,10/31/2016,1,Online Search,Call Center Internal
Treadclimber,CAM30971 icastsf09buytc,11/1/2016,11/1/2016,10/31/2016,1,Electronic - Short Form,Web
Bowflex Brand,CAM31266 icaosgcgl1,,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Home Gyms,CAM31266 icaosgcgl1,,11/1/2016,10/31/2016,2,Online Search,Web
Bowflex Max Trainer,CAM31266 icaosgcgl1,11/1/2016,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Max Trainer,CAM31266 icaosgcgl1,,11/1/2016,10/31/2016,5,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31266 icaosgcgl1,,11/1/2016,10/31/2016,1,Online Search,Web
Treadclimber,CAM31266 icaosgcgl1,11/1/2016,11/1/2016,10/31/2016,1,Online Search,Web
Treadclimber,CAM31266 icaosgcgl1,,11/1/2016,10/31/2016,2,Online Search,Web
Bowflex Max Trainer,CAM37661 icaosgctsl5,,11/1/2016,10/31/2016,1,Online Search,Web
Treadclimber,CAM37661 icaosgctsl5,,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Home Gyms,CAM37662 icaosgcwsl23,,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Home Gyms,CAM40821 1800BOWFLEX,,11/1/2016,10/31/2016,1,Un-Sourced,Call Center Internal
Treadclimber,CAM40825 1800TREADCLIMBER,,11/1/2016,10/31/2016,1,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM44423 icaosgcdsl10,,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,11/1/2016,11/1/2016,10/31/2016,1,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM45438 ICAOFG2GFEED1,,11/1/2016,10/31/2016,1,Online Shopping,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,11/1/2016,10/31/2016,4,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,11/1/2016,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,,11/1/2016,10/31/2016,3,Online Shopping,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,11/1/2016,11/1/2016,10/31/2016,17,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,,11/1/2016,10/31/2016,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45836 ICAOSGCESL3,,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Max Trainer,CAM45839 ICAOSGCESL6,11/1/2016,11/1/2016,10/31/2016,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,11/1/2016,11/1/2016,10/31/2016,2,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,,11/1/2016,10/31/2016,1,Online Search,Web
Treadclimber,CAM49421 OWN*N5MNTRC5MTIC,,11/1/2016,10/31/2016,1,Short Form,Call Center Internal
