Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM128 1800BOWFLEX_CAB,5/23/2015,5/23/2015,5/18/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM28364 icaw1sitecab,5/21/2015,5/21/2015,5/18/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,5/22/2015,5/22/2015,5/18/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,5/23/2015,5/23/2015,5/18/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,5/24/2015,5/24/2015,5/18/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM28364 icaw1sitecab,,5/24/2015,5/18/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,5/21/2015,5/18/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,5/22/2015,5/22/2015,5/18/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,5/22/2015,5/18/2015,2,Electronic - UnSourced,Web
Bowflex Revolution,CAM40739 ICAWHOME,,5/22/2015,5/18/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,5/23/2015,5/23/2015,5/18/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM40739 ICAWHOME,,5/23/2015,5/18/2015,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30851 icaosgcwsl6,,5/24/2015,5/18/2015,1,Online Search,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,5/23/2015,5/23/2015,5/18/2015,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,5/21/2015,5/21/2015,5/18/2015,3,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,5/22/2015,5/22/2015,5/18/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,5/22/2015,5/18/2015,2,Online Search,Web
Bowflex Revolution,CAM31268 icaosgcwgl1cab,,5/22/2015,5/18/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,5/23/2015,5/23/2015,5/18/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,5/23/2015,5/18/2015,1,Online Search,Web
Bowflex Revolution,CAM31268 icaosgcwgl1cab,,5/23/2015,5/18/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,5/24/2015,5/24/2015,5/18/2015,2,Online Search,Web
Bowflex Home Gyms,CAM31587 icaosgcdgl1cas,,5/21/2015,5/18/2015,1,Online Search,Web
Bowflex Home Gyms,CAM40991 icaosbcggl1cab,5/24/2015,5/24/2015,5/18/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,5/21/2015,5/21/2015,5/18/2015,1,Online Search,Web
