Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,2/16/2015,2/17/2015,1,1199.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,2/16/2015,2/17/2015,1,599.00
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,2/16/2015,2/17/2015,3,5896.98
Bowflex Home Gyms,Online Search,CAM31268 icaosgcwgl1cab,Web,2/16/2015,2/18/2015,1,349.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,2/16/2015,2/19/2015,1,1750.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,2/16/2015,2/19/2015,1,107.87
Bowflex Home Gyms,Online Search,CAM37662 icaosgcwsl23,Web,2/16/2015,2/19/2015,1,2969.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,2/16/2015,2/20/2015,1,1650.00
Bowflex Revolution,Online Search,CAM30834 icaosgcrsl2,Call Center Internal,2/16/2015,2/20/2015,1,2159.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,2/16/2015,2/22/2015,1,1650.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,2/16/2015,2/22/2015,1,1750.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,2/23/2015,2/23/2015,2,1199.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,2/23/2015,2/25/2015,1,599.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,2/23/2015,2/26/2015,2,2159.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,2/23/2015,2/26/2015,2,2173.10
Bowflex Home Gyms,Online Search,CAM41258 icaosgcwsl30,Web,2/23/2015,2/26/2015,1,349.00
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,2/23/2015,2/27/2015,1,349.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,2/23/2015,2/27/2015,2,2849.00
Bowflex Home Gyms,Electronic - UnSourced,CAM36853 icawdigikbuy,Web,2/23/2015,3/1/2015,1,1574.10
Bowflex Home Gyms,Online Search,CAM41258 icaosgcwsl30,Web,2/23/2015,3/1/2015,1,349.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/2/2015,3/2/2015,2,1199.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/2/2015,3/3/2015,2,2159.10
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/2/2015,3/4/2015,1,1650.00
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,3/2/2015,3/4/2015,1,349.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/2/2015,3/5/2015,1,1750.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/2/2015,3/5/2015,1,1650.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/2/2015,3/6/2015,2,3400.00
Bowflex Home Gyms,Online Search,CAM41258 icaosgcwsl30,Web,3/2/2015,3/6/2015,1,349.00
Bowflex Revolution,Online Search,CAM30834 icaosgcrsl2,Call Center Internal,3/2/2015,3/6/2015,1,1650.00
Bowflex Home Gyms,Online Shopping,CAM45438 ICAOFG2GFEED1,Call Center Internal,3/2/2015,3/7/2015,1,3299.00
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,3/9/2015,3/9/2015,1,599.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/9/2015,3/10/2015,1,1650.00
Bowflex Home Gyms,Online Search,CAM31268 icaosgcwgl1cab,Web,3/9/2015,3/10/2015,1,1574.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/9/2015,3/11/2015,1,1874.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/9/2015,3/11/2015,1,.00
Bowflex Revolution,Un-Sourced,CAM40829 1800REVOLUTION,Call Center Internal,3/9/2015,3/11/2015,1,2969.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/9/2015,3/12/2015,1,2179.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,3/9/2015,3/12/2015,1,599.00
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,3/16/2015,3/16/2015,1,3239.10
Bowflex Home Gyms,Online Search,CAM31268 icaosgcwgl1cab,Web,3/16/2015,3/16/2015,1,1574.10
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/16/2015,3/17/2015,1,1750.00
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,3/16/2015,3/17/2015,1,1574.10
Bowflex Home Gyms,Print,CAM22665 BOWFLEXLEAD,Call Center Internal,3/16/2015,3/18/2015,1,1750.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/16/2015,3/18/2015,1,1650.00
Bowflex Home Gyms,Online Search,CAM39397 icaosgcwsl29,Web,3/16/2015,3/19/2015,1,1574.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,3/16/2015,3/20/2015,1,1574.10
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/16/2015,3/21/2015,1,2969.10
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/23/2015,3/23/2015,1,.00
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,3/23/2015,3/24/2015,1,2969.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/23/2015,3/24/2015,1,1199.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/23/2015,3/25/2015,1,3449.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,3/23/2015,3/25/2015,1,1574.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,3/23/2015,3/25/2015,2,3618.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/23/2015,3/26/2015,1,1574.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,3/23/2015,3/26/2015,1,599.00
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,3/23/2015,3/27/2015,1,1749.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/23/2015,3/28/2015,2,4889.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,3/23/2015,3/28/2015,1,1574.10
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,3/30/2015,3/30/2015,2,5938.20
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,3/30/2015,3/30/2015,1,349.00
Bowflex Home Gyms,Online Search,CAM37150 icaosbcgsl1,Call Center Internal,3/30/2015,3/30/2015,1,2159.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28364 icaw1sitecab,Web,3/30/2015,3/30/2015,1,1574.10
