Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Body,CAM27557 Bowflex Catalog,,2/17/2015,2/16/2015,1,Catalog,Call Center Internal
Bowflex Body,CAM27557 Bowflex Catalog,,2/19/2015,2/16/2015,1,Catalog,Call Center Internal
Bowflex Body,CAM27607 BFXCATWEB,,2/20/2015,2/16/2015,6,Catalog,Call Center Internal
Bowflex Body,CAM46526 DCBHOMEWIN15,,2/21/2015,2/16/2015,1,Catalog,Web
Bowflex Body,CAM46526 DCBHOMEWIN15,3/13/2015,2/22/2015,2/16/2015,2,Catalog,Web
Bowflex Body,CAM133 1800BOWFLEX_TRC,,2/18/2015,2/16/2015,3,Electronic - UnSourced,Call Center Internal
Bowflex Body,CAM23879 degt1sitetc,,2/18/2015,2/16/2015,1,Electronic - UnSourced,Web
Bowflex Body,CAM44626 1800BOWFLEX_BMT,,2/21/2015,2/16/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Body,CAM46362 DEGZBDY,,2/17/2015,2/16/2015,1,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,2/18/2015,2/16/2015,2,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,2/19/2015,2/16/2015,3,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,2/20/2015,2/16/2015,2,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,2/21/2015,2/16/2015,1,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,2/22/2015,2/16/2015,2,Electronic - UnSourced,Web
Bowflex Body,CAM46370 DEGZ1SITEBD,,2/20/2015,2/16/2015,1,Electronic - UnSourced,Web
Bowflex Body,CAM46531 DODNETZDL1,,2/18/2015,2/16/2015,1,Online Display,Web
Bowflex Body,CAM30796 SAWDOSG2G,,2/21/2015,2/16/2015,1,Online Search,Call Center Internal
Bowflex Body,CAM32376 dosg2csl1,,2/19/2015,2/16/2015,2,Online Search,Web
Bowflex Body,CAM32678 dosg2dgl1st,,2/18/2015,2/16/2015,3,Online Search,Web
Bowflex Body,CAM46371 DOSG2ZGL1BD,,2/17/2015,2/16/2015,1,Online Search,Web
Bowflex Body,CAM46372 DOSBIZGL1BD,,2/17/2015,2/16/2015,1,Online Search,Web
Bowflex Body,CAM47103 SPKEN120ALOHATIC,,2/18/2015,2/16/2015,1,Short Form,Call Center Internal
Bowflex Body,CAM28157 SALESFOLLOWUP,,2/18/2015,2/16/2015,5,Un-Sourced,Call Center Internal
Bowflex Body,CAM27557 Bowflex Catalog,,2/28/2015,2/23/2015,3,Catalog,Call Center Internal
Bowflex Body,CAM29847 dcbnls,,2/28/2015,2/23/2015,2,Catalog,Web
Bowflex Body,CAM127 1800BOWFLEX_BFC,,2/24/2015,2/23/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Body,CAM16414 DEGBFTRC,,3/1/2015,2/23/2015,1,Electronic - UnSourced,Web
Bowflex Body,CAM23879 degt1sitetc,,2/27/2015,2/23/2015,2,Electronic - UnSourced,Web
Bowflex Body,CAM44433 dege1sitemx,,2/24/2015,2/23/2015,1,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,2/26/2015,2/23/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Body,CAM46362 DEGZBDY,,2/23/2015,2/23/2015,1,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,2/24/2015,2/23/2015,1,Electronic - UnSourced,Web
