Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Catalog,CAM10472 SAWWEBC,Call Center Internal,6/15/2015,6/16/2015,1,1099.00
Bowflex Home Gyms,Electronic - UnSourced,CAM136 1800NAUTILUS_BFX,Call Center Internal,6/15/2015,6/16/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,6/15/2015,6/16/2015,1,2699.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/15/2015,6/16/2015,8,15512.50
Bowflex Home Gyms,Catalog,CAM41597 BFCT1993,Call Center Internal,6/15/2015,6/16/2015,1,11.99
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/15/2015,6/16/2015,1,999.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/15/2015,6/16/2015,1,2699.10
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,6/15/2015,6/16/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/15/2015,6/17/2015,9,12417.15
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/15/2015,6/17/2015,2,89.90
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/15/2015,6/17/2015,2,2878.20
Bowflex Home Gyms,Online Search,CAM37116 dosg2gsl26,Web,6/15/2015,6/17/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,6/15/2015,6/18/2015,1,2699.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/15/2015,6/18/2015,3,4197.10
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/15/2015,6/18/2015,2,4698.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/15/2015,6/18/2015,1,.00
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,6/15/2015,6/18/2015,1,349.00
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,6/15/2015,6/18/2015,2,2878.20
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,6/15/2015,6/19/2015,1,1999.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/15/2015,6/19/2015,1,1599.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/15/2015,6/19/2015,1,.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/15/2015,6/19/2015,1,2199.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,6/15/2015,6/20/2015,1,2699.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/15/2015,6/20/2015,1,1599.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/15/2015,6/20/2015,2,3098.00
Bowflex Home Gyms,Online Shopping,CAM32080 SAWDOFG2G,Call Center Internal,6/15/2015,6/20/2015,1,1198.99
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/15/2015,6/20/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/15/2015,6/20/2015,2,4138.20
Bowflex Home Gyms,Online Search,CAM30755 dosg2gsl1,Web,6/15/2015,6/20/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/15/2015,6/21/2015,1,1499.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/15/2015,6/21/2015,1,1999.10
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/15/2015,6/21/2015,1,2697.72
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,6/15/2015,6/21/2015,2,898.00
Bowflex Home Gyms,Electronic - UnSourced,CAM136 1800NAUTILUS_BFX,Call Center Internal,6/22/2015,6/22/2015,1,1253.62
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/22/2015,6/22/2015,6,8044.20
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/22/2015,6/22/2015,2,3438.20
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/22/2015,6/22/2015,4,7686.14
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,6/22/2015,6/22/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM37434 dosg2gsl29,Web,6/22/2015,6/22/2015,1,1439.10
Bowflex Home Gyms,Short Form,CAM10002 SCNYL60*NVXTR***,Call Center Internal,6/22/2015,6/23/2015,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/22/2015,6/23/2015,4,6296.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/22/2015,6/23/2015,4,6246.10
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/22/2015,6/23/2015,1,.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,6/22/2015,6/23/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM37434 dosg2gsl29,Web,6/22/2015,6/23/2015,1,1439.10
Bowflex Revolution,Online Search,CAM1800 doarevtcpl300_BTQ,Call Center Internal,6/22/2015,6/23/2015,1,1999.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,6/22/2015,6/24/2015,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/22/2015,6/24/2015,6,8733.10
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/22/2015,6/24/2015,1,1439.10
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/22/2015,6/24/2015,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/22/2015,6/24/2015,2,1788.10
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,6/22/2015,6/24/2015,1,16.99
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/22/2015,6/25/2015,2,3998.20
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,6/22/2015,6/25/2015,1,.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,6/22/2015,6/25/2015,2,2878.19
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,6/22/2015,6/25/2015,2,53.22
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/22/2015,6/26/2015,4,6996.10
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,6/22/2015,6/26/2015,1,.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,6/22/2015,6/26/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,6/22/2015,6/26/2015,2,80.89
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/22/2015,6/27/2015,3,3797.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/22/2015,6/27/2015,1,2690.41
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,6/22/2015,6/27/2015,1,1099.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/22/2015,6/27/2015,2,5398.20
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,6/22/2015,6/27/2015,1,549.00
Bowflex Home Gyms,Online Search,CAM37109 dosbigsl3,Web,6/22/2015,6/27/2015,1,549.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/22/2015,6/28/2015,1,1099.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/22/2015,6/28/2015,1,2545.57
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/22/2015,6/28/2015,5,1858.04
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,6/22/2015,6/28/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM32607 dosg2gad2,Web,6/22/2015,6/28/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM37743 dosbigsl6,Web,6/22/2015,6/28/2015,1,1439.10
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,6/22/2015,6/28/2015,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,6/29/2015,6/29/2015,2,4198.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,6/29/2015,6/29/2015,2,2498.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,6/29/2015,6/29/2015,2,1499.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,6/29/2015,6/29/2015,1,599.00
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,6/29/2015,6/29/2015,1,3198.99
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,6/29/2015,6/29/2015,2,2878.20
Bowflex Home Gyms,Electronic - UnSourced,CAM1154 DEGSAWBFG_BFX,Call Center Internal,6/29/2015,6/30/2015,1,2699.09
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,6/29/2015,6/30/2015,2,4298.10
