Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Core Body Reformer,CAM18438 Bowflex-Catalog,,11/22/2014,11/17/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,11/18/2014,11/17/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,11/19/2014,11/17/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,11/21/2014,11/17/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,11/23/2014,11/17/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM46149 DCBHOMEHOL14,,11/18/2014,11/17/2014,2,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,11/20/2014,11/17/2014,1,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,11/23/2014,11/17/2014,4,Catalog,Web
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,11/18/2014,11/17/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,11/19/2014,11/17/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM23584 degcfootlinkbf,,11/23/2014,11/17/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM23586 degcfootlinkst,,11/23/2014,11/17/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM23879 degt1sitetc,,11/19/2014,11/17/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM37128 SAWDOSBLGD2Q212X,11/22/2014,11/22/2014,11/17/2014,1,Online Display,Call Center Internal
Core Body Reformer,CAM32595 SAWDOSBIT,,11/18/2014,11/17/2014,1,Online Search,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,11/26/2014,11/24/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,11/30/2014,11/24/2014,2,Catalog,Call Center Internal
Core Body Reformer,CAM46149 DCBHOMEHOL14,,11/25/2014,11/24/2014,1,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,11/29/2014,11/24/2014,1,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,11/30/2014,11/24/2014,1,Catalog,Web
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,11/26/2014,11/24/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,11/28/2014,11/24/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM132 1800BOWFLEX_CAT,,11/25/2014,11/24/2014,1,Electronic - UnSourced,Third Party Call Center - Evolve
Core Body Reformer,CAM35689 degyncr,,11/24/2014,11/24/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,11/25/2014,11/24/2014,2,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,11/28/2014,11/24/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,11/29/2014,11/24/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,11/30/2014,11/24/2014,2,Electronic - UnSourced,Web
Core Body Reformer,CAM32308 SAWDOSMSNC,,11/25/2014,11/24/2014,1,Online Search,Call Center Internal
Core Body Reformer,CAM32376 dosg2csl1,,11/26/2014,11/24/2014,1,Online Search,Web
Core Body Reformer,CAM32380 dosmsncsl1,,11/28/2014,11/24/2014,2,Online Search,Web
Core Body Reformer,CAM33966 dofg2cfeed1,,11/29/2014,11/24/2014,1,Online Shopping,Web
Core Body Reformer,CAM45327 1800MAXTRAINER,,11/30/2014,11/24/2014,1,Un-Sourced,Call Center Internal
Core Body Reformer,CAM18438 Bowflex-Catalog,,12/2/2014,12/1/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,12/1/2014,12/1/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,12/2/2014,12/1/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM29847 dcbnls,,12/3/2014,12/1/2014,1,Catalog,Web
Core Body Reformer,CAM29847 dcbnls,,12/6/2014,12/1/2014,1,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/3/2014,12/1/2014,3,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/4/2014,12/1/2014,2,Catalog,Web
Core Body Reformer,CAM5676 SAWWEBBF,,12/5/2014,12/1/2014,1,Electronic - Short Form,Call Center Internal
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,12/2/2014,12/1/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,12/4/2014,12/1/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,12/6/2014,12/1/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM132 1800BOWFLEX_CAT,,12/2/2014,12/1/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM133 1800BOWFLEX_TRC,,12/6/2014,12/1/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM23587 degcfootlinktc,,12/3/2014,12/1/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM23879 degt1sitetc,,12/2/2014,12/1/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,12/2/2014,12/1/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,12/3/2014,12/1/2014,2,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,12/4/2014,12/1/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,12/5/2014,12/1/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,12/7/2014,12/1/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM31082 dosg2tgl1tc,,12/3/2014,12/1/2014,1,Online Search,Web
Core Body Reformer,CAM32376 dosg2csl1,,12/4/2014,12/1/2014,2,Online Search,Web
Core Body Reformer,CAM32376 dosg2csl1,,12/5/2014,12/1/2014,1,Online Search,Web
Core Body Reformer,CAM39442 dosbitgl1tc,,12/3/2014,12/1/2014,1,Online Search,Web
Core Body Reformer,CAM33960 SAWDOFSZC,,12/5/2014,12/1/2014,1,Online Shopping,Call Center Internal
Core Body Reformer,CAM33966 dofg2cfeed1,,12/4/2014,12/1/2014,2,Online Shopping,Web
Core Body Reformer,CAM35960 SAWDOFG2Y,,12/3/2014,12/1/2014,1,Online Shopping,Call Center Internal
Core Body Reformer,CAM35976 SAWDOFTFDY,,12/4/2014,12/1/2014,1,Online Shopping,Call Center Internal
Core Body Reformer,CAM18438 Bowflex-Catalog,,12/9/2014,12/8/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,12/13/2014,12/8/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27607 BFXCATWEB,,12/9/2014,12/8/2014,2,Catalog,Call Center Internal
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/9/2014,12/8/2014,2,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/11/2014,12/8/2014,1,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/12/2014,12/8/2014,1,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/13/2014,12/8/2014,2,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/14/2014,12/8/2014,5,Catalog,Web
Core Body Reformer,CAM44215 SAWDSEESF14A,,12/9/2014,12/8/2014,1,Electronic - Short Form,Call Center Internal
Core Body Reformer,CAM5676 SAWWEBBF,,12/11/2014,12/8/2014,1,Electronic - Short Form,Call Center Internal
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,12/8/2014,12/8/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM127 1800BOWFLEX_BFC,,12/9/2014,12/8/2014,1,Electronic - UnSourced,Call Center Internal
Core Body Reformer,CAM35689 degyncr,,12/10/2014,12/8/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM35689 degyncr,,12/13/2014,12/8/2014,1,Electronic - UnSourced,Web
Core Body Reformer,CAM32376 dosg2csl1,,12/10/2014,12/8/2014,1,Online Search,Web
Core Body Reformer,CAM32376 dosg2csl1,,12/11/2014,12/8/2014,1,Online Search,Web
Core Body Reformer,CAM32380 dosmsncsl1,,12/9/2014,12/8/2014,1,Online Search,Web
Core Body Reformer,CAM39442 dosbitgl1tc,,12/10/2014,12/8/2014,1,Online Search,Web
Core Body Reformer,CAM33953 SAWDOFG2C,,12/13/2014,12/8/2014,1,Online Shopping,Call Center Internal
Core Body Reformer,CAM33966 dofg2cfeed1,,12/11/2014,12/8/2014,1,Online Shopping,Web
Core Body Reformer,CAM33967 dofnextcfeed1,,12/12/2014,12/8/2014,1,Online Shopping,Web
Core Body Reformer,CAM40820 1800BFXCATALOG,,12/14/2014,12/8/2014,1,Un-Sourced,Call Center Internal
Core Body Reformer,CAM40822 1800COREBODY,,12/9/2014,12/8/2014,1,Un-Sourced,Call Center Internal
Core Body Reformer,CAM40822 1800COREBODY,,12/9/2014,12/8/2014,1,Un-Sourced,Third Party Call Center - Evolve
Core Body Reformer,CAM46083 1800BOWFLEXBODY,,12/9/2014,12/8/2014,1,Un-Sourced,Call Center Internal
Core Body Reformer,CAM18438 Bowflex-Catalog,,12/16/2014,12/15/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM27557 Bowflex Catalog,,12/21/2014,12/15/2014,1,Catalog,Call Center Internal
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/15/2014,12/15/2014,2,Catalog,Web
Core Body Reformer,CAM46149 DCBHOMEHOL14,,12/16/2014,12/15/2014,1,Catalog,Web
