Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Treadclimber,Online,CAM12351 SAWFROOGTC,Call Center Internal,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,12/15/2014,12/16/2014,2,3798.00
Treadclimber,Online Search,CAM32595 SAWDOSBIT,Call Center Internal,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,12/15/2014,12/16/2014,1,1499.00
Treadclimber,Electronic - Short Form,CAM36104 SAWSF11E,Call Center Internal,12/15/2014,12/16/2014,1,1049.00
Treadclimber,Short Form,CAM36398 KGTVL60*STWMNTIC,Call Center Internal,12/15/2014,12/16/2014,1,999.00
Treadclimber,Electronic - Short Form,CAM36482 SAWSF11J,Call Center Internal,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Electronic - Print,CAM38406 SAWDPETPRINT12F,Call Center Internal,12/15/2014,12/16/2014,3,5397.00
Treadclimber,Short Form,CAM39672 SOAPN180JRNEYTIC,Call Center Internal,12/15/2014,12/16/2014,1,2199.00
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,12/15/2014,12/16/2014,2,3798.00
Treadclimber,Short Form,CAM44361 SPKEN120JNYNYTIC,Call Center Internal,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Online Video,CAM45804 DOVCRCKTVL1,Call Center Internal,12/15/2014,12/16/2014,1,2899.00
Treadclimber,Short Form,CAM46069 MSNBN120WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,2,2918.00
Treadclimber,Short Form,CAM46072 DISAN60*WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,1,1499.00
Treadclimber,Short Form,CAM46134 USA*L60*WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,1,2756.00
Treadclimber,Short Form,CAM46141 VH1*L60*WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,1,2899.00
Treadclimber,Short Form,CAM46180 UPTVN120WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,1,2899.00
Treadclimber,Short Form,CAM46183 INSPN120WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,1,2899.00
Treadclimber,Short Form,CAM46188 PALLN120GNTMFTIC,Call Center Internal,12/15/2014,12/16/2014,2,3398.00
Treadclimber,Short Form,CAM46195 METVN120WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,8,12492.20
Treadclimber,Short Form,CAM46196 WE**N120WLKMFTIC,Call Center Internal,12/15/2014,12/16/2014,1,1499.00
Treadclimber,Short Form,CAM46728 HMM*N120WLKNYTIC,Call Center Internal,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,12/15/2014,12/16/2014,6,11844.00
Treadclimber,Online,CAM6110 SAWGOOGTC,Call Center Internal,12/15/2014,12/16/2014,7,12793.00
Treadclimber,Online Search,CAM32595 SAWDOSBIT,Third Party Call Center - Evolve,12/15/2014,12/16/2014,1,2899.00
Treadclimber,Print,CAM45871 P12141STWMNCOLL,Third Party Call Center - Evolve,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Short Form,CAM46202 ION*L60*WLKMFTIC,Third Party Call Center - Evolve,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Electronic - UnSourced,CAM16414 DEGBFTRC,Web,12/15/2014,12/16/2014,17,39382.97
Treadclimber,Electronic - Short Form,CAM16426 DSETDIR,Web,12/15/2014,12/16/2014,2,4798.00
Treadclimber,Electronic - UnSourced,CAM23879 degt1sitetc,Web,12/15/2014,12/16/2014,11,20708.99
Treadclimber,Online Search,CAM31082 dosg2tgl1tc,Web,12/15/2014,12/16/2014,6,13669.99
Treadclimber,Online Shopping,CAM32123 dofg2tfeed1,Web,12/15/2014,12/16/2014,3,4937.00
Treadclimber,Electronic - Short Form,CAM36608 dsetsf12a,Web,12/15/2014,12/16/2014,2,3798.00
Treadclimber,Online Search,CAM37440 dosg2tsl21,Web,12/15/2014,12/16/2014,13,25907.00
Treadclimber,Online Search,CAM37655 dosbitsl10,Web,12/15/2014,12/16/2014,14,34485.98
Treadclimber,Online Display,CAM38445 dodnettdl1,Web,12/15/2014,12/16/2014,1,1899.00
Treadclimber,Online Display,CAM41086 dodnettdl4,Web,12/15/2014,12/16/2014,1,2899.00
Treadclimber,Online Search,CAM43666 dosg2tmobile4,Web,12/15/2014,12/16/2014,1,1198.99
Treadclimber,Online Display,CAM45517 DODADCTDL1,Web,12/15/2014,12/16/2014,1,1019.00
Treadclimber,Online,CAM12351 SAWFROOGTC,Call Center Internal,12/15/2014,12/17/2014,1,2699.00
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,12/15/2014,12/17/2014,1,1899.00
Treadclimber,Online Search,CAM32595 SAWDOSBIT,Call Center Internal,12/15/2014,12/17/2014,4,7296.00
Treadclimber,Short Form,CAM34853 SAWTCIM0003,Call Center Internal,12/15/2014,12/17/2014,1,3299.00
Treadclimber,Print,CAM34918 P0311WOMDYAPRIL,Call Center Internal,12/15/2014,12/17/2014,1,549.00
Treadclimber,Electronic - Short Form,CAM36104 SAWSF11E,Call Center Internal,12/15/2014,12/17/2014,2,1598.00
Treadclimber,Online Social,CAM38157 SAWDOXTWTTQ412GG,Call Center Internal,12/15/2014,12/17/2014,1,1599.00
Treadclimber,Electronic - Print,CAM38406 SAWDPETPRINT12F,Call Center Internal,12/15/2014,12/17/2014,1,1599.00
