Internal ID,Transaction Number,Status
93508520,RA-93478,Pending Receipt
93518458,RA-93525,Pending Receipt
93737837,RA-93966,Pending Receipt
93928190,RA-94260,Pending Receipt
94068389,RA-94531,Pending Receipt
94331526,RA-95139,Pending Receipt
94431167,RA-95379,Pending Receipt
94431372,RA-95380,Pending Receipt
94431473,RA-95381,Pending Receipt
94431474,RA-95382,Pending Receipt
94969695,RA-96501,Pending Receipt
94972071,RA-96516,Pending Receipt
94979579,RA-96580,Pending Receipt
94979729,RA-96584,Pending Receipt
94980976,RA-96602,Pending Receipt
95108811,RA-96866,Pending Receipt
95194382,RA-97011,Pending Receipt
95455689,RA-97482,Pending Receipt
95652833,RA-97789,Pending Receipt
95682626,RA-97811,Pending Receipt
95728365,RA-97912,Pending Receipt
95731304,RA-97922,Pending Receipt
95731507,RA-97923,Pending Receipt
95731610,RA-97926,Pending Receipt
95788870,RA-98103,Pending Receipt
95894261,RA-98290,Pending Receipt
95900221,RA-98332,Pending Receipt
95976465,RA-98579,Pending Receipt
96035915,RA-98927,Pending Receipt
96083114,RA-99093,Pending Receipt
96214296,RA-99370,Pending Receipt
96231678,RA-99411,Pending Receipt
96265541,RA-99534,Pending Receipt
96432282,RA-99868,Pending Receipt
96434039,RA-99877,Pending Receipt
96470618,RA-99970,Pending Receipt
96475698,RA-100002,Pending Receipt
96510287,RA-100045,Pending Receipt
96518502,RA-100083,Pending Receipt
96581900,RA-100178,Pending Receipt
96629748,RA-100272,Pending Receipt
96630737,RA-100281,Pending Receipt
96739346,RA-100390,Pending Receipt
96745753,RA-100442,Pending Receipt
96745759,RA-100443,Pending Receipt
96786049,RA-100551,Pending Receipt
96830729,RA-100681,Pending Receipt
96836853,RA-100753,Pending Receipt
96837157,RA-100755,Pending Receipt
96837159,RA-100756,Pending Receipt
96870797,RA-100850,Pending Receipt
96886672,RA-100924,Pending Receipt
96907582,RA-100971,Pending Receipt
96916358,RA-101093,Pending Receipt
96916565,RA-101095,Pending Receipt
96916573,RA-101098,Pending Receipt
96916682,RA-101101,Pending Receipt
96961044,RA-101150,Pending Receipt
96965332,RA-101174,Pending Receipt
96970747,RA-101202,Pending Receipt
96971305,RA-101209,Pending Receipt
97008866,RA-101363,Pending Receipt
97011669,RA-101387,Pending Receipt
97013638,RA-101393,Pending Receipt
