Internal ID,Transaction Number,Status
109440860,RA-131630,Pending Receipt
109444123,RA-131651,Pending Receipt
109463371,RA-131694,Pending Receipt
109522191,RA-131814,Pending Receipt
110023917,RA-132838,Pending Receipt
110135693,RA-133159,Pending Receipt
110578755,RA-134047,Pending Receipt
110660631,RA-134169,Pending Receipt
111018443,RA-135044,Pending Refund/Partially Received
111210049,RA-135249,Pending Receipt
111213948,RA-135258,Pending Receipt
111214578,RA-135260,Pending Receipt
111391753,RA-135495,Pending Receipt
111421426,RA-135523,Pending Receipt
