Internal ID,Transaction Number,Status
96739346,RA-100390,Pending Receipt
96745759,RA-100443,Pending Receipt
96786049,RA-100551,Pending Receipt
96836853,RA-100753,Pending Receipt
96870797,RA-100850,Pending Receipt
97011669,RA-101387,Pending Receipt
97051899,RA-101511,Pending Receipt
97081456,RA-101567,Pending Receipt
97081457,RA-101568,Pending Receipt
97217266,RA-101850,Pending Receipt
97263263,RA-102049,Pending Receipt
97330062,RA-102261,Pending Receipt
97374648,RA-102367,Pending Receipt
97381981,RA-102411,Pending Receipt
97607122,RA-102873,Pending Receipt
97792686,RA-103288,Pending Receipt
97823373,RA-103329,Pending Receipt
98016377,RA-103777,Pending Receipt
98039551,RA-103813,Pending Receipt
98080825,RA-103935,Pending Receipt
98471867,RA-104881,Pending Receipt
98558047,RA-105022,Pending Receipt
98561419,RA-105039,Pending Receipt
98604094,RA-105150,Pending Receipt
98605450,RA-105160,Pending Receipt
98792269,RA-105459,Pending Receipt
98965090,RA-105719,Pending Receipt
98967490,RA-105740,Pending Receipt
99012260,RA-105906,Pending Receipt
99075887,RA-106064,Pending Receipt
99110177,RA-106130,Pending Receipt
99152167,RA-106205,Pending Refund/Partially Received
99222149,RA-106392,Pending Receipt
99254682,RA-106449,Pending Receipt
99283864,RA-106496,Pending Receipt
99359670,RA-106707,Pending Receipt
99380916,RA-106731,Pending Receipt
99389362,RA-106776,Pending Receipt
99392229,RA-106784,Pending Receipt
99428738,RA-106862,Pending Receipt
99483745,RA-107017,Pending Receipt
99525365,RA-107069,Pending Receipt
99532535,RA-107091,Pending Receipt
99535443,RA-107098,Pending Receipt
99557600,RA-107130,Pending Receipt
99558660,RA-107141,Pending Refund/Partially Received
99560272,RA-107157,Pending Receipt
99593236,RA-107233,Pending Receipt
99600979,RA-107265,Pending Receipt
99600983,RA-107267,Pending Receipt
99624007,RA-107309,Pending Receipt
