Internal ID,Transaction Number,Status
100629996,RA-109435,Pending Receipt
100679579,RA-109529,Pending Receipt
100741850,RA-109619,Pending Receipt
101029441,RA-110205,Pending Receipt
101276720,RA-110686,Pending Receipt
101306807,RA-110731,Pending Receipt
101335675,RA-110838,Pending Receipt
101429478,RA-111013,Pending Receipt
101456335,RA-111064,Pending Receipt
101510384,RA-111143,Pending Receipt
101700792,RA-111374,Pending Receipt
101736029,RA-111452,Pending Receipt
101738037,RA-111457,Pending Receipt
101767585,RA-111524,Pending Receipt
101856104,RA-111647,Pending Receipt
101888785,RA-111742,Pending Receipt
101927383,RA-111851,Pending Receipt
102054835,RA-112064,Pending Receipt
102060612,RA-112079,Pending Receipt
102102446,RA-112169,Pending Receipt
102247207,RA-112390,Pending Receipt
102260674,RA-112449,Pending Receipt
102283780,RA-112492,Pending Refund/Partially Received
102365649,RA-112612,Pending Receipt
102374846,RA-112641,Pending Receipt
102453841,RA-112718,Pending Receipt
102557968,RA-112950,Pending Refund/Partially Received
102612290,RA-112978,Pending Receipt
102616337,RA-113004,Pending Refund/Partially Received
102617808,RA-113007,Pending Receipt
102621768,RA-113030,Pending Refund/Partially Received
102649749,RA-113095,Pending Receipt
102653675,RA-113107,Pending Receipt
102800835,RA-113385,Pending Receipt
102861874,RA-113482,Pending Receipt
102882564,RA-113500,Pending Receipt
102895781,RA-113549,Pending Receipt
102920772,RA-113595,Pending Receipt
102975711,RA-113646,Pending Receipt
