Internal ID,Transaction Number,Status
111421426,RA-135523,Pending Receipt
111931465,RA-137093,Pending Receipt
112129471,RA-137344,Pending Receipt
112155930,RA-137367,Pending Receipt
112303184,RA-137591,Pending Receipt
112307718,RA-137611,Pending Receipt
112520035,RA-138027,Pending Receipt
112724101,RA-138474,Pending Receipt
112749391,RA-138544,Pending Receipt
112749392,RA-138545,Pending Receipt
113050110,RA-139026,Pending Receipt
113060861,RA-139078,Pending Refund/Partially Received
113087027,RA-139128,Pending Receipt
113127128,RA-139157,Pending Refund/Partially Received
113362824,RA-139550,Pending Receipt
113421371,RA-139637,Pending Receipt
