Internal ID,Transaction Number,Status
99919836,RA-108055,Pending Receipt
100065919,RA-108290,Pending Receipt
100233621,RA-108614,Pending Receipt
100322680,RA-108829,Pending Receipt
100488610,RA-109169,Pending Receipt
100584371,RA-109320,Pending Receipt
100601048,RA-109387,Pending Receipt
100629996,RA-109435,Pending Receipt
100679579,RA-109529,Pending Receipt
100741850,RA-109619,Pending Receipt
101029441,RA-110205,Pending Receipt
101276720,RA-110686,Pending Receipt
101306807,RA-110731,Pending Receipt
101310648,RA-110743,Pending Receipt
101335675,RA-110838,Pending Receipt
101429478,RA-111013,Pending Receipt
101456335,RA-111064,Pending Receipt
101510384,RA-111143,Pending Receipt
101700792,RA-111374,Pending Receipt
101736029,RA-111452,Pending Receipt
101738037,RA-111457,Pending Receipt
101767585,RA-111524,Pending Receipt
101856104,RA-111647,Pending Receipt
101888785,RA-111742,Pending Receipt
101927383,RA-111851,Pending Receipt
101952460,RA-111868,Pending Receipt
101956032,RA-111879,Pending Receipt
102054835,RA-112064,Pending Receipt
102060612,RA-112079,Pending Receipt
102076653,RA-112102,Pending Receipt
102102446,RA-112169,Pending Receipt
102139505,RA-112238,Pending Refund/Partially Received
102247207,RA-112390,Pending Receipt
102255789,RA-112427,Pending Receipt
102260674,RA-112449,Pending Receipt
102283780,RA-112492,Pending Refund/Partially Received
102365649,RA-112612,Pending Receipt
102374846,RA-112641,Pending Receipt
102453841,RA-112718,Pending Receipt
102463714,RA-112757,Pending Receipt
102466850,RA-112769,Pending Receipt
