Internal ID,Transaction Number,Status
84871462,RA-80139,Pending Receipt
85197654,RA-80652,Pending Receipt
85319625,RA-80823,Pending Receipt
85340418,RA-80855,Pending Receipt
85499648,RA-81066,Pending Receipt
85568064,RA-81213,Pending Receipt
85696157,RA-81305,Pending Receipt
86168524,RA-81863,Pending Receipt
86378416,RA-82217,Pending Receipt
86425486,RA-82297,Partially Received
86513049,RA-82482,Pending Receipt
86601831,RA-82645,Pending Refund/Partially Received
86825928,RA-82789,Pending Receipt
87462328,RA-83760,Pending Receipt
