Bowflex Brand,Bowflex Max Trainer,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,11/28/2016,12/4/2016,1,1799.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,11/28/2016,12/4/2016,1,838.00
Bowflex Brand,Treadclimber,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,11/28/2016,12/4/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,11/28/2016,12/4/2016,1,2499.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,11/28/2016,12/4/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,Call Center Internal,11/28/2016,12/4/2016,1,1199.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45692 SAWICAOFG2E,Call Center Internal,11/28/2016,12/4/2016,0,.00
Treadclimber,Bowflex Home Gyms,Online Search,CAM30841 icaosgctsl2,Web,11/28/2016,12/4/2016,1,1549.00
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,11/28/2016,12/4/2016,2,5398.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,Web,11/28/2016,12/4/2016,0,267.93
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,11/28/2016,12/4/2016,2,3698.00
Bowflex Brand,Bowflex Revolution,Online Search,CAM31266 icaosgcgl1,Web,11/28/2016,12/4/2016,1,2997.00
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,Web,11/28/2016,12/4/2016,2,4198.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM40992 icaosbcgl1,Web,11/28/2016,12/4/2016,0,118.99
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,Web,11/28/2016,12/4/2016,1,2658.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM40992 icaosbcgl1,Web,11/28/2016,12/4/2016,2,1256.00
Bowflex Brand,Treadclimber,Online Search,CAM40992 icaosbcgl1,Web,11/28/2016,12/4/2016,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,11/28/2016,12/4/2016,1,699.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,11/28/2016,12/4/2016,11,20907.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,11/28/2016,12/4/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,11/28/2016,12/4/2016,1,1799.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,11/28/2016,12/4/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,11/28/2016,12/4/2016,5,9145.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,11/28/2016,12/4/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM50190 ICAOXFBESCODEBFCM16,Web,11/28/2016,12/4/2016,2,4457.00
