Treadclimber,CAM44539 SAWDOSG2EMOBILE2,,7/25/2016,7/25/2016,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44543 dosbiesl3,,7/25/2016,7/25/2016,1,Online Search,Web
Bowflex Max Trainer,CAM44560 dosg2esl5,,7/25/2016,7/25/2016,8,Online Search,Web
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,7/25/2016,7/25/2016,7/25/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,,7/25/2016,7/25/2016,2,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM44626 1800BOWFLEX_BMT,,7/25/2016,7/25/2016,2,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM44887 dofg2efeed1,7/25/2016,7/25/2016,7/25/2016,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,7/25/2016,7/25/2016,28,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,,7/25/2016,7/25/2016,3,Online Shopping,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,,7/25/2016,7/25/2016,2,Online Shopping,Web
Bowflex Max Trainer,CAM45042 SAWDOFBIE,,7/25/2016,7/25/2016,1,Online Shopping,Call Center Internal
Bowflex Catalog,CAM45043 SAWDOFG2E,,7/25/2016,7/25/2016,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,7/25/2016,7/25/2016,4,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,7/25/2016,7/25/2016,3,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,7/25/2016,7/25/2016,7/25/2016,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,7/25/2016,7/25/2016,5,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM45327 1800MAXTRAINER,,7/25/2016,7/25/2016,1,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,,7/25/2016,7/25/2016,10,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45387 DSEESF14E,7/25/2016,7/25/2016,7/25/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,7/25/2016,7/25/2016,7/25/2016,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,7/25/2016,7/25/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45436 DOVHULUEVL3,,7/25/2016,7/25/2016,1,Online Video,Web
Bowflex Max Trainer,CAM45563 DPEEPRINT14D,7/25/2016,7/25/2016,7/25/2016,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,7/25/2016,7/25/2016,4,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,7/25/2016,7/25/2016,2,Online Search,Web
Treadclimber,CAM45730 DOSG2ESL7,,7/25/2016,7/25/2016,1,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,7/25/2016,7/25/2016,1,Online Search,Web
Treadclimber,CAM45797 DSEESF14G,,7/25/2016,7/25/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,7/25/2016,7/25/2016,7/25/2016,2,Electronic - Short Form,Web
Treadclimber,CAM45852 DOSG2TSL32,7/25/2016,7/25/2016,7/25/2016,2,Online Search,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,,7/25/2016,7/25/2016,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM45910 DODADCEDL3,,7/25/2016,7/25/2016,1,Online Display,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,7/25/2016,7/25/2016,7/25/2016,1,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,,7/25/2016,7/25/2016,16,Online Search,Web
Bowflex Selecttech Dumbbells,CAM47150 DOSG2ESL9,,7/25/2016,7/25/2016,1,Online Search,Web
Treadclimber,CAM47150 DOSG2ESL9,,7/25/2016,7/25/2016,1,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,7/25/2016,7/25/2016,7/25/2016,1,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,,7/25/2016,7/25/2016,2,Online Search,Web
Bowflex Selecttech Dumbbells,CAM47170 DOXFBGL1,,7/25/2016,7/25/2016,1,Online Social,Web
Treadclimber,CAM47235 SAWDODCTOT,,7/25/2016,7/25/2016,2,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47239 SAWDODCTOE,,7/25/2016,7/25/2016,3,Online Display,Call Center Internal
Treadclimber,CAM47239 SAWDODCTOE,,7/25/2016,7/25/2016,1,Online Display,Call Center Internal
Bowflex Max Trainer,CAM47251 DODCTOEDL2,7/25/2016,7/25/2016,7/25/2016,2,Online Display,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,7/25/2016,7/25/2016,7,Online Display,Web
Treadclimber,CAM47254 DODCTOTDL1,7/25/2016,7/25/2016,7/25/2016,1,Online Display,Web
Treadclimber,CAM47254 DODCTOTDL1,,7/25/2016,7/25/2016,3,Online Display,Web
Bowflex Selecttech Dumbbells,CAM47266 DODCTODDL1,,7/25/2016,7/25/2016,3,Online Display,Web
Bowflex Home Gyms,CAM48184 DOXFBTSCODE001,7/25/2016,7/25/2016,7/25/2016,1,Online Social,Web
Treadclimber,CAM48184 DOXFBTSCODE001,,7/25/2016,7/25/2016,1,Online Social,Web
Treadclimber,CAM48185 DOXFBTSCODE002,,7/25/2016,7/25/2016,1,Online Social,Web
Treadclimber,CAM48186 DOXFBTSCODE003,,7/25/2016,7/25/2016,1,Online Social,Web
Bowflex Selecttech Dumbbells,CAM48207 DOXFBDSCODE001,7/25/2016,7/25/2016,7/25/2016,1,Online Social,Web
Bowflex Selecttech Dumbbells,CAM48207 DOXFBDSCODE001,,7/25/2016,7/25/2016,6,Online Social,Web
Bowflex Brand,CAM48218 DOXFBSCODE005,,7/25/2016,7/25/2016,3,Online Social,Web
Bowflex Home Gyms,CAM48218 DOXFBSCODE005,,7/25/2016,7/25/2016,2,Online Social,Web
Bowflex Max Trainer,CAM48218 DOXFBSCODE005,,7/25/2016,7/25/2016,3,Online Social,Web
Treadclimber,CAM48518 INSPN180HKINGTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48520 DLFEN180HKINGTIC,,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48521 HMM*N180HKINGTIC,7/25/2016,7/25/2016,7/25/2016,2,Short Form,Call Center Internal
Treadclimber,CAM48521 HMM*N180HKINGTIC,,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Treadclimber,CAM48521 HMM*N180HKINGTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM48521 HMM*N180HKINGTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48730 MX12P60*J14FSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48741 MX23P60*J14FSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM48751 ION*N120J14FSTIC,7/25/2016,7/25/2016,7/25/2016,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48753 RELZN120J14FSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48756 LAFFN120J14FSTIC,7/25/2016,7/25/2016,7/25/2016,7,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48761 EREYN120J14FSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48771 PUREN180JACFSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48772 VEL*N180JACFSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48774 PIVTN180JACFSTIC,7/25/2016,7/25/2016,7/25/2016,3,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48775 SUNDN180JACFSTIC,7/25/2016,7/25/2016,7/25/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48777 VH1CN180JACFSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48779 DISMN60*J14FSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48779 DISMN60*J14FSTIC,,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48791 IFC*N5MNHAMFSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM48793 HERON5MNHAMFSTIC,7/25/2016,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48793 HERON5MNHAMFSTIC,,7/25/2016,7/25/2016,1,Short Form,Call Center Internal
