Bowflex Home Gyms,CAM27401 DEFAULTADID,,2/20/2017,2/20/2017,4,Electronic - Short Form,Call Center Internal
Schwinn,CAM27401 DEFAULTADID,,2/20/2017,2/20/2017,1,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,,2/20/2017,2/20/2017,3,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM28157 SALESFOLLOWUP,,2/20/2017,2/20/2017,1,Un-Sourced,Call Center Internal
Treadclimber,CAM28157 SALESFOLLOWUP,,2/20/2017,2/20/2017,3,Un-Sourced,Call Center Internal
Treadclimber,CAM29717 SAWOHTC,,2/20/2017,2/20/2017,1,Electronic - Short Form,Call Center Internal
Bowflex Selecttech Dumbbells,CAM30753 dosg2dsl5,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,2/20/2017,2/20/2017,2/20/2017,5,Online Search,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,,2/20/2017,2/20/2017,2,Online Search,Web
Bowflex Revolution,CAM30755 dosg2gsl1,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM30755 dosg2gsl1,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Revolution,CAM30793 SAWDOSG2D,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Bowflex Selecttech Dumbbells,CAM30793 SAWDOSG2D,,2/20/2017,2/20/2017,3,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30796 SAWDOSG2G,,2/20/2017,2/20/2017,6,Online Search,Call Center Internal
Bowflex Max Trainer,CAM30796 SAWDOSG2G,,2/20/2017,2/20/2017,4,Online Search,Call Center Internal
Treadclimber,CAM30796 SAWDOSG2G,,2/20/2017,2/20/2017,1,Online Search,Call Center Internal
Bowflex Brand,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,14,Online Search,Web
Bowflex Catalog,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,2/20/2017,2/20/2017,2/20/2017,2,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,20,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,2/20/2017,2/20/2017,2/20/2017,9,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,33,Online Search,Web
Bowflex Revolution,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,2/20/2017,2/20/2017,2/20/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,7,Online Search,Web
Bowflex UpperCut,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,1,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,,2/20/2017,2/20/2017,9,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,,2/20/2017,2/20/2017,3,Online Shopping,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,,2/20/2017,2/20/2017,2,Online Shopping,Web
