Bowflex Max Trainer,CAM45912 ICAODAKEDL1,9/8/2015,9/8/2015,9/7/2015,2,Online Display,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,9/7/2015,9/7/2015,9/7/2015,9,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,9/7/2015,9/7/2015,6,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,9/8/2015,9/8/2015,9/7/2015,5,Online Search,Web
Bowflex Max Trainer,CAM45624 ICAOSGCESL2,,9/8/2015,9/7/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,9/7/2015,9/7/2015,9/7/2015,7,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,,9/7/2015,9/7/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,9/8/2015,9/8/2015,9/7/2015,3,Online Search,Web
Bowflex Max Trainer,CAM45626 ICAOSGCEML2,,9/8/2015,9/7/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,9/7/2015,9/7/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45628 ICAOSBCESL2,9/8/2015,9/8/2015,9/7/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45630 ICAOSBCEML2,9/8/2015,9/8/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45630 ICAOSBCEML2,,9/8/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45634 ICAOSBCEGL1CMT,9/8/2015,9/8/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,,9/7/2015,9/7/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45690 SAWICAOSGCE,,9/8/2015,9/7/2015,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45838 ICAOSGCESL5,,9/7/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45838 ICAOSGCESL5,9/8/2015,9/8/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45839 ICAOSGCESL6,9/7/2015,9/7/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45839 ICAOSGCESL6,9/8/2015,9/8/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45840 ICAOSGCESL7,,9/8/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45842 ICAOSGCESL9,9/7/2015,9/7/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45842 ICAOSGCESL9,,9/8/2015,9/7/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45849 ICAOSBCESL9,,9/7/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,9/7/2015,9/7/2015,9/7/2015,2,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,,9/7/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,9/8/2015,9/8/2015,9/7/2015,2,Online Search,Web
Bowflex Max Trainer,CAM47271 ICAOSGCESL10,,9/8/2015,9/7/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,9/7/2015,9/7/2015,9/7/2015,3,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,,9/7/2015,9/7/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,9/8/2015,9/8/2015,9/7/2015,3,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,,9/8/2015,9/7/2015,3,Online Shopping,Web
Bowflex Max Trainer,CAM47195 SPKEN120HAMBYTIC,9/7/2015,9/7/2015,9/7/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47195 SPKEN120HAMBYTIC,9/8/2015,9/8/2015,9/7/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47332 CBCNC120HAMF*KST,9/7/2015,9/7/2015,9/7/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47336 TSN*C120HAMF*KST,9/7/2015,9/7/2015,9/7/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47336 TSN*C120HAMF*KST,9/8/2015,9/8/2015,9/7/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,9/7/2015,9/7/2015,9/7/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,9/7/2015,9/7/2015,2,Un-Sourced,Call Center Internal
