Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Max Trainer,Electronic - UnSourced,- None -,Call Center Internal,9/22/2014,9/25/2014,3,4231.411
Bowflex Max Trainer,Electronic - UnSourced,CAM45632 ICAEE1SITECMT,Web,9/22/2014,9/25/2014,2,2640.311
Bowflex Max Trainer,Online Search,CAM40823 1800NAUTILUS,Call Center Internal,9/22/2014,9/25/2014,1,1049.211
Bowflex Max Trainer,Online Search,CAM45639 HALMN120WALKATIC,Call Center Internal,9/22/2014,9/25/2014,1,1049.211
Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,9/22/2014,9/25/2014,2,2549.391
Bowflex Max Trainer,Online Search,CAM45808 TNTLL60*NOTSTTIC,Call Center Internal,9/22/2014,9/25/2014,1,1591.10
Bowflex Max Trainer,Online Search,CAM45626 ICAOSGCEML2,Web,9/22/2014,9/25/2014,1,1591.10
Bowflex Max Trainer,Online Search,CAM45633 ICAOSGCEGL1CMT,Web,9/22/2014,9/25/2014,1,1049.211
Bowflex Max Trainer,Online Search,CAM45634 ICAOSBCEGL1CMT,Web,9/22/2014,9/25/2014,1,1591.10
Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,9/22/2014,9/25/2014,2,2640.311
Bowflex Max Trainer,Un-Sourced,- None -,Call Center Internal,9/22/2014,9/25/2014,1,1500.18
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,9/22/2014,9/25/2014,2,3091.28
Bowflex Max Trainer,Online Search,CAM45641 INSPN120WALKATIC,Call Center Internal,9/22/2014,9/26/2014,1,1591.10
Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,9/22/2014,9/26/2014,1,1099.211
Bowflex Max Trainer,Online Search,CAM45691 SAWICAOSBCE,Call Center Internal,9/22/2014,9/26/2014,1,1500.18
Bowflex Max Trainer,Online Search,- None -,Web,9/22/2014,9/26/2014,1,1591.10
Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,9/22/2014,9/26/2014,3,4190.491
Bowflex Max Trainer,Online Search,CAM45633 ICAOSGCEGL1CMT,Web,9/22/2014,9/26/2014,1,1500.18
Bowflex Max Trainer,Un-Sourced,CAM45692 SAWICAOFG2E,Call Center Internal,9/22/2014,9/26/2014,2,3000.36
Bowflex Max Trainer,Electronic - Short Form,CAM45693 ICASESF14A,Web,9/22/2014,9/27/2014,2,3000.36
Bowflex Max Trainer,Electronic - UnSourced,CAM29763 001BFRESPONSE,Call Center Internal,9/22/2014,9/27/2014,1,1500.18
Bowflex Max Trainer,Electronic - UnSourced,CAM45632 ICAEE1SITECMT,Web,9/22/2014,9/27/2014,2,2640.311
Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,9/22/2014,9/27/2014,1,1500.18
