Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Call Center Internal,6/29/2015,7/2/2015,1,461.72
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,6/29/2015,7/2/2015,2,698.00
Bowflex Selecttech Dumbbells,Online Search,CAM31587 icaosgcdgl1cas,Web,6/29/2015,7/3/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,6/29/2015,7/3/2015,1,599.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Call Center Internal,6/29/2015,7/4/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM31587 icaosgcdgl1cas,Web,6/29/2015,7/4/2015,3,1297.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,6/29/2015,7/4/2015,3,1626.99
Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,6/29/2015,7/4/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,6/29/2015,7/5/2015,2,698.00
Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,6/29/2015,7/5/2015,1,428.99
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM11920 SAWWEBST,Call Center Internal,7/6/2015,7/6/2015,1,599.00
Bowflex Selecttech Dumbbells,Online Search,CAM30828 icaosgcdsl2,Call Center Internal,7/6/2015,7/6/2015,1,1199.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/6/2015,7/6/2015,4,1646.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Call Center Internal,7/6/2015,7/7/2015,1,349.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM28343 icad1sitecas,Web,7/6/2015,7/7/2015,1,778.99
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/6/2015,7/7/2015,3,1297.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Call Center Internal,7/6/2015,7/8/2015,1,349.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM28343 icad1sitecas,Web,7/6/2015,7/8/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/6/2015,7/8/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,7/6/2015,7/8/2015,1,428.99
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM28343 icad1sitecas,Web,7/6/2015,7/9/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/6/2015,7/9/2015,2,948.00
Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,7/6/2015,7/9/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Call Center Internal,7/6/2015,7/10/2015,1,3199.00
Bowflex Selecttech Dumbbells,Un-Sourced,CAM40819 1800SELECTTECH,Call Center Internal,7/6/2015,7/10/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/6/2015,7/10/2015,1,349.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM28343 icad1sitecas,Web,7/6/2015,7/11/2015,2,652.63
Bowflex Selecttech Dumbbells,Online Search,CAM31587 icaosgcdgl1cas,Web,7/6/2015,7/11/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/6/2015,7/11/2015,2,948.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Call Center Internal,7/6/2015,7/12/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/6/2015,7/12/2015,4,1646.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM28343 icad1sitecas,Web,7/13/2015,7/13/2015,1,349.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/13/2015,7/13/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM44423 icaosgcdsl10,Web,7/13/2015,7/13/2015,1,349.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM28343 icad1sitecas,Web,7/13/2015,7/14/2015,2,698.00
Bowflex Selecttech Dumbbells,Online Search,CAM31587 icaosgcdgl1cas,Web,7/13/2015,7/14/2015,1,599.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/13/2015,7/14/2015,2,948.00
Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,7/13/2015,7/14/2015,1,349.00
Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM28343 icad1sitecas,Web,7/13/2015,7/15/2015,2,698.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/13/2015,7/15/2015,5,2495.00
Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,7/13/2015,7/15/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM44210 SAWICAOSGCD,Call Center Internal,7/13/2015,7/16/2015,1,.00
Bowflex Selecttech Dumbbells,Online,CAM40758 ICADHOME,Web,7/13/2015,7/16/2015,3,1297.00
Bowflex Selecttech Dumbbells,Online Search,CAM40990 icaosbcdgl1cas,Web,7/13/2015,7/16/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM47282 ICAOSGCDSL11,Web,7/13/2015,7/16/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM30899 SAWICAOSMCD,Call Center Internal,7/13/2015,7/17/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM40990 icaosbcdgl1cas,Call Center Internal,7/13/2015,7/17/2015,1,349.00
Bowflex Selecttech Dumbbells,Online Search,CAM44210 SAWICAOSGCD,Call Center Internal,7/13/2015,7/17/2015,1,349.00
