Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Treadclimber,CAM41307 icaitctis0002,,3/18/2015,3/16/2015,1,Electronic - Print,Web
Treadclimber,CAM30971 icastsf09buytc,3/17/2015,3/17/2015,3/16/2015,13,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,3/18/2015,3/18/2015,3/16/2015,41,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,3/19/2015,3/19/2015,3/16/2015,16,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,3/20/2015,3/20/2015,3/16/2015,27,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,3/21/2015,3/21/2015,3/16/2015,20,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,4/22/2015,3/21/2015,3/16/2015,1,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,3/22/2015,3/22/2015,3/16/2015,43,Electronic - Short Form,Web
Treadclimber,CAM30971 icastsf09buytc,4/6/2015,3/22/2015,3/16/2015,1,Electronic - Short Form,Web
Treadclimber,CAM36732 icastsf12a,3/17/2015,3/17/2015,3/16/2015,1,Electronic - Short Form,Web
Treadclimber,CAM37199 SAWICASTSF12B,,3/17/2015,3/16/2015,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM37204 icastsf12b,3/19/2015,3/19/2015,3/16/2015,1,Electronic - Short Form,Web
Treadclimber,CAM44216 SAWDSEESF14B,,3/18/2015,3/16/2015,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM47146 ICASTSF15A,3/20/2015,3/20/2015,3/16/2015,2,Electronic - Short Form,Web
Treadclimber,CAM132 1800BOWFLEX_CAT,,3/17/2015,3/16/2015,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM132 1800BOWFLEX_CAT,,3/18/2015,3/16/2015,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM133 1800BOWFLEX_TRC,3/21/2015,3/21/2015,3/16/2015,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM28491 icat1sitecat,3/18/2015,3/18/2015,3/16/2015,2,Electronic - UnSourced,Web
Treadclimber,CAM28491 icat1sitecat,,3/18/2015,3/16/2015,1,Electronic - UnSourced,Web
Treadclimber,CAM28491 icat1sitecat,3/19/2015,3/19/2015,3/16/2015,2,Electronic - UnSourced,Web
Treadclimber,CAM28491 icat1sitecat,4/18/2015,3/20/2015,3/16/2015,1,Electronic - UnSourced,Web
Treadclimber,CAM28491 icat1sitecat,,3/21/2015,3/16/2015,2,Electronic - UnSourced,Web
Treadclimber,CAM28491 icat1sitecat,3/22/2015,3/22/2015,3/16/2015,2,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,3/19/2015,3/19/2015,3/16/2015,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM40760 ICATHOME,3/17/2015,3/17/2015,3/16/2015,8,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,,3/17/2015,3/16/2015,2,Electronic - UnSourced,Web
Treadclimber,CAM40760 ICATHOME,3/18/2015,3/18/2015,3/16/2015,5,Electronic - UnSourced,Web
