Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,11/17/2014,11/18/2014,2,2798.00
Bowflex Home Gyms,Electronic - Short Form,CAM27401 DEFAULTADID,Call Center Internal,11/17/2014,11/18/2014,1,2899.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,11/17/2014,11/18/2014,1,999.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,11/17/2014,11/18/2014,1,1299.00
Bowflex Home Gyms,Online Shopping,CAM32080 SAWDOFG2G,Call Center Internal,11/17/2014,11/18/2014,1,1299.00
Bowflex Home Gyms,Online Display,CAM39074 SAWDODNETG,Call Center Internal,11/17/2014,11/18/2014,1,599.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,11/17/2014,11/18/2014,2,4198.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,11/17/2014,11/18/2014,3,4372.36
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Third Party Call Center - Evolve,11/17/2014,11/18/2014,1,1299.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,11/17/2014,11/18/2014,1,1768.99
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,11/17/2014,11/18/2014,1,1768.99
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,11/17/2014,11/19/2014,3,6296.99
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,11/17/2014,11/19/2014,2,3098.00
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,11/17/2014,11/19/2014,3,59.94
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,11/17/2014,11/19/2014,1,2699.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,11/17/2014,11/19/2014,1,1299.00
Bowflex Home Gyms,Electronic - Short Form,CAM27401 DEFAULTADID,Call Center Internal,11/17/2014,11/20/2014,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,11/17/2014,11/20/2014,2,2998.00
Bowflex Home Gyms,Print,CAM28189 808INFOKT6WK,Call Center Internal,11/17/2014,11/20/2014,1,479.20
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,11/17/2014,11/20/2014,1,1899.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,11/17/2014,11/20/2014,3,4947.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Third Party Call Center - Evolve,11/17/2014,11/20/2014,1,1099.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Third Party Call Center - Evolve,11/17/2014,11/20/2014,1,1499.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,11/17/2014,11/20/2014,1,1299.00
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,11/17/2014,11/20/2014,1,24.97
Bowflex Home Gyms,Online Search,CAM37743 dosbigsl6,Web,11/17/2014,11/20/2014,1,1299.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,11/17/2014,11/20/2014,1,2699.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,11/17/2014,11/21/2014,2,2598.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,11/17/2014,11/21/2014,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,11/17/2014,11/21/2014,1,1299.00
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,11/17/2014,11/21/2014,1,2699.00
Bowflex Home Gyms,Online Display,CAM39082 dodrfgdl1,Web,11/17/2014,11/21/2014,1,2699.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,11/17/2014,11/22/2014,3,5097.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,11/17/2014,11/22/2014,1,3299.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,11/17/2014,11/22/2014,1,1299.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,11/17/2014,11/23/2014,4,4746.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,11/17/2014,11/23/2014,1,1599.00
Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,11/17/2014,11/23/2014,1,1499.00
Bowflex Home Gyms,Electronic - UnSourced,CAM28771 degg1siteg,Web,11/17/2014,11/23/2014,1,19.98
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,11/17/2014,11/23/2014,1,2699.00
Bowflex Home Gyms,Online Search,CAM39440 dosbiggl1bf,Web,11/17/2014,11/23/2014,1,1299.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,11/24/2014,11/24/2014,4,2598.00
Bowflex Home Gyms,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,11/24/2014,11/24/2014,1,1299.00
Bowflex Home Gyms,Electronic - Short Form,CAM5676 SAWWEBBF,Call Center Internal,11/24/2014,11/24/2014,2,1599.00
Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,11/24/2014,11/24/2014,1,728.99
Bowflex Home Gyms,Online Search,CAM31080 dosg2ggl1bf,Web,11/24/2014,11/24/2014,2,3998.00
Bowflex Home Gyms,Electronic - UnSourced,CAM32136 deggbhg,Web,11/24/2014,11/24/2014,2,1848.00
Bowflex Home Gyms,Online Search,CAM37434 dosg2gsl29,Web,11/24/2014,11/24/2014,1,1299.00
Bowflex Home Gyms,Electronic - UnSourced,CAM25756 DEGSAWBFG,Call Center Internal,11/24/2014,11/25/2014,1,2699.00
Bowflex Home Gyms,Electronic - Short Form,CAM27401 DEFAULTADID,Call Center Internal,11/24/2014,11/25/2014,1,1499.00
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,11/24/2014,11/25/2014,1,1499.00
