Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Boost,Electronic - UnSourced,CAM41186 SAWBOOSTUNSOURCE,Call Center Internal,6/30/2014,7/4/2014,2,2999.00
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,6/30/2014,7/5/2014,1,59.94
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,6/30/2014,7/6/2014,1,59.94
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/7/2014,7/7/2014,2,119.88
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/7/2014,7/8/2014,1,59.94
Boost,Online Social,CAM45558 DOXFBABFJULY14,Web,7/7/2014,7/13/2014,1,39.96
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,7/14/2014,7/14/2014,1,59.94
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/14/2014,7/15/2014,3,119.88
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,7/14/2014,7/16/2014,1,59.94
Boost,Online Search,CAM41180 dosbiagl1bo,Web,7/14/2014,7/16/2014,2,119.88
Boost,Online Search,CAM41181 dosbiasl1,Web,7/14/2014,7/18/2014,1,49.95
Boost,Online Search,CAM41183 dosg2asl1,Web,7/14/2014,7/18/2014,1,59.94
Boost,Online Search,CAM41182 dosg2agl1bo,Web,7/14/2014,7/20/2014,1,59.94
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,7/21/2014,7/22/2014,1,59.94
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/21/2014,7/23/2014,1,59.94
Boost,Online Search,CAM41180 dosbiagl1bo,Web,7/21/2014,7/23/2014,1,59.94
Boost,Electronic - UnSourced,CAM41186 SAWBOOSTUNSOURCE,Call Center Internal,7/21/2014,7/24/2014,4,109.97
Boost,Online Search,CAM41181 dosbiasl1,Web,7/21/2014,7/24/2014,1,59.94
Boost,Un-Sourced,CAM45326 1800BOOST,Call Center Internal,7/21/2014,7/24/2014,8,239.92
Boost,Electronic - UnSourced,CAM41186 SAWBOOSTUNSOURCE,Call Center Internal,7/21/2014,7/25/2014,2,59.98
Boost,Online Search,CAM41184 SAWDOSG2A,Call Center Internal,7/21/2014,7/25/2014,1,29.99
Boost,Un-Sourced,CAM45326 1800BOOST,Call Center Internal,7/21/2014,7/25/2014,2,59.98
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,7/21/2014,7/26/2014,4,119.96
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/21/2014,7/26/2014,12,359.88
Boost,Online Search,CAM41180 dosbiagl1bo,Web,7/21/2014,7/26/2014,1,29.99
Boost,Online Search,CAM41182 dosg2agl1bo,Web,7/21/2014,7/26/2014,2,59.98
Boost,Un-Sourced,CAM45326 1800BOOST,Call Center Internal,7/21/2014,7/26/2014,1,20.00
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,7/21/2014,7/27/2014,1,29.99
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/21/2014,7/27/2014,24,719.76
Boost,Online Search,CAM41181 dosbiasl1,Web,7/21/2014,7/27/2014,1,29.99
Boost,Online Search,CAM41182 dosg2agl1bo,Web,7/21/2014,7/27/2014,7,209.93
Boost,Online Search,CAM41184 SAWDOSG2A,Call Center Internal,7/28/2014,7/28/2014,1,29.99
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,7/28/2014,7/30/2014,3,89.97
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/28/2014,7/30/2014,11,329.89
Boost,Online Search,CAM41180 dosbiagl1bo,Web,7/28/2014,7/30/2014,4,119.96
Boost,Online Search,CAM41182 dosg2agl1bo,Web,7/28/2014,7/30/2014,1,29.99
Boost,Electronic - UnSourced,CAM41178 dega1sitebo,Web,7/28/2014,7/31/2014,3,119.92
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/28/2014,7/31/2014,52,1579.44
Boost,Online Search,CAM41184 SAWDOSG2A,Call Center Internal,7/28/2014,7/31/2014,1,59.94
Boost,Online Search,CAM41180 dosbiagl1bo,Web,7/28/2014,7/31/2014,2,59.98
Boost,Online Search,CAM41181 dosbiasl1,Web,7/28/2014,7/31/2014,1,59.94
Boost,Online Search,CAM41182 dosg2agl1bo,Web,7/28/2014,7/31/2014,8,239.92
Boost,Online Search,CAM41183 dosg2asl1,Web,7/28/2014,7/31/2014,5,209.85
Boost,Un-Sourced,CAM45326 1800BOOST,Call Center Internal,7/28/2014,7/31/2014,3,89.97
Boost,Electronic - UnSourced,CAM41188 degaboo,Web,7/28/2014,8/1/2014,1,59.94
