Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,6/30/2014,7/1/2014,1,119.90
Bowflex UpperCut,Electronic - UnSourced,CAM38833 degx1siteup,Web,6/30/2014,7/1/2014,1,129.95
Bowflex UpperCut,Online Search,CAM38606 dosbixsl1,Web,6/30/2014,7/1/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,6/30/2014,7/2/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38833 degx1siteup,Web,6/30/2014,7/2/2014,2,229.90
Bowflex UpperCut,Un-Sourced,CAM40826 1800UPPERCUT,Call Center Internal,6/30/2014,7/2/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,6/30/2014,7/3/2014,3,379.80
Bowflex UpperCut,Electronic - UnSourced,CAM38833 degx1siteup,Web,6/30/2014,7/3/2014,1,99.95
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,6/30/2014,7/4/2014,1,119.90
Bowflex UpperCut,Electronic - UnSourced,CAM38489 SAWDEGXUPC,Call Center Internal,6/30/2014,7/5/2014,1,1599.00
Bowflex UpperCut,Electronic - UnSourced,CAM38833 degx1siteup,Web,6/30/2014,7/5/2014,2,284.85
Bowflex UpperCut,Online Search,CAM38610 dosg2xsl2,Web,6/30/2014,7/5/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38489 SAWDEGXUPC,Call Center Internal,6/30/2014,7/6/2014,1,2199.00
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,6/30/2014,7/6/2014,1,154.90
Bowflex UpperCut,Online Search,CAM38609 dosg2xsl1,Web,6/30/2014,7/6/2014,1,154.90
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,7/7/2014,7/7/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38489 SAWDEGXUPC,Call Center Internal,7/7/2014,7/8/2014,1,154.90
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,7/7/2014,7/8/2014,1,154.90
Bowflex UpperCut,Electronic - UnSourced,CAM38833 degx1siteup,Web,7/7/2014,7/8/2014,1,129.95
Bowflex UpperCut,Online Search,CAM38609 dosg2xsl1,Web,7/7/2014,7/8/2014,1,129.95
Bowflex UpperCut,Online Search,CAM38610 dosg2xsl2,Web,7/7/2014,7/8/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38489 SAWDEGXUPC,Call Center Internal,7/7/2014,7/9/2014,1,299.00
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,7/7/2014,7/9/2014,1,129.95
Bowflex UpperCut,Online Search,CAM38609 dosg2xsl1,Web,7/7/2014,7/9/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,7/7/2014,7/10/2014,1,129.95
Bowflex UpperCut,Electronic - UnSourced,CAM38833 degx1siteup,Web,7/7/2014,7/10/2014,1,99.95
Bowflex UpperCut,Online Search,CAM38609 dosg2xsl1,Web,7/7/2014,7/10/2014,1,154.90
Bowflex UpperCut,Electronic - UnSourced,CAM38393 degxupc,Web,7/7/2014,7/11/2014,3,339.85
Bowflex UpperCut,Electronic - UnSourced,CAM38833 degx1siteup,Web,7/7/2014,7/11/2014,2,159.90
Bowflex UpperCut,Online Search,CAM38834 dosg2xgl1up,Web,7/7/2014,7/11/2014,1,79.95
