OrderNumber|Quantity|ListPrice|SalesDiscount|Freight|FreightDiscount|LineTotal|NetProduct|OrderSource|SKU_NUM|Sku_NM|Class
SM:11261550|1|199.00||||199.00|199.00|Web|100340|BFX 4.1 Bench|Strength : Selectorized : Adjustable Benches
SM:11261550||.00|||-29.99|-29.99|.00|Web|Freight Discount||
SM:11261550|0|.00||29.99||29.99|.00|Web|Freight||
SM:11261594|1|39.99||||39.99|39.99|Web|001-3660|E-Z Curl Bar|Strength : Home Gyms : Accessories
SM:11261594|0|.00||9.99||9.99|.00|Web|Freight||
SM:11261628|1|25.00||||25.00|25.00|Web|004-4456|M - NLS White M Sleeveless T-S|Other : Catalog Sourced
SM:11261628||.00|-12.50|||-12.50|-12.50|Web|Sales Discount||
SM:11261628|1|25.00||||25.00|25.00|Web|004-4499|M - Schwinn Gray M Sleeveless|Other : Catalog Sourced
SM:11261628||.00|-12.50|||-12.50|-12.50|Web|Sales Discount||
SM:11261628|1|20.25||||20.25|20.25|Web|8002670|Bowflex Strong Man Tank - L|Other : Catalog Sourced
SM:11261628|0|.00||9.99||9.99|.00|Web|Freight||
SM:11261628||.00|||-9.99|-9.99|.00|Web|Freight Discount||
SM:11261769|1|.00||||.00|.00|Web|100338|SCH 270 Recumbent Bike|Cardio : Bikes : Recumbent
SM:11261769|0|.00||59.99||59.99|.00|Web|Freight||
SM:11261806|1|8.99||||8.99|8.99|Web|000-7183|Revo Handle Kit|Other : Parts
SM:11261806||.00|||-7.99|-7.99|.00|Web|Freight Discount||
SM:11261806|0|.00||7.99||7.99|.00|Web|Freight||
SM:11261995|1|139.00||||139.00|139.00|Web|100300|BFX SelectTech Stand|Strength : Selectorized : Accessories
SM:11261995||.00|||-19.99|-19.99|.00|Web|Freight Discount||
SM:11261995|0|.00||19.99||19.99|.00|Web|Freight||
SM:11262109|1|14.99||||14.99|14.99|Web|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SM:11262109||.00|||-3.99|-3.99|.00|Web|Freight Discount||
SM:11262109|0|.00||3.99||3.99|.00|Web|Freight||
SM:11262110|1|.00||||.00|.00|Web|004-7188|AC Power Supply Kit|Other : Parts
SM:11262110|0|.00||5.99||5.99|.00|Web|Freight||
SM:269905|1|6.04||||6.04|6.04|Call Center|004-2439|Speed Sensor Kit|Other : Parts
SM:269905||.00|-6.04|||-6.04|-6.04|Call Center|Sales Discount||
SM:269905||.00|||-6.00|-6.00|.00|Call Center|Freight Discount||
SM:269905|0|.00||6.00||6.00|.00|Call Center|Freight||
SM:269908|1|5.99||||5.99|5.99|Call Center|51525|Mult - Handgrip (Pair)|Other : Parts
SM:269908|0|.00||7.00||7.00|.00|Call Center|Freight||
SM:269909|1|99.00||||99.00|99.00|Call Center|95146|BFX 310# Rod Upgrade|Strength : Home Gyms : Accessories
