Internal ID,Transaction Number,Status
118506707,RA-151338,Pending Receipt
118689151,RA-151899,Pending Receipt
118691109,RA-151907,Pending Receipt
119102585,RA-152702,Pending Receipt
119509852,RA-153310,Pending Receipt
119625967,RA-153518,Pending Receipt
120138213,RA-154240,Pending Refund/Partially Received
120170502,RA-154297,Pending Receipt
120232287,RA-154363,Pending Receipt
120287345,RA-154421,Pending Receipt
120395679,RA-154564,Pending Receipt
120410332,RA-154584,Pending Receipt
120411479,RA-154589,Pending Receipt
120627572,RA-154927,Pending Receipt
120647044,RA-154974,Pending Receipt
120647045,RA-154975,Pending Receipt
