Internal ID,Transaction Number,Status
107196286,RA-124823,Pending Receipt
107201034,RA-124858,Pending Receipt
107202000,RA-124876,Pending Receipt
107243203,RA-125091,Pending Receipt
107280068,RA-125236,Pending Receipt
107591891,RA-126482,Pending Receipt
107637169,RA-126693,Pending Receipt
107642102,RA-126728,Pending Receipt
107721467,RA-126966,Pending Receipt
107722943,RA-126971,Pending Receipt
107795821,RA-127100,Pending Receipt
107797331,RA-127107,Pending Receipt
107838897,RA-127326,Pending Receipt
108024714,RA-127839,Pending Receipt
108046129,RA-127873,Pending Receipt
108145256,RA-128315,Pending Receipt
108293537,RA-128924,Pending Receipt
108347204,RA-129073,Pending Receipt
108412101,RA-129188,Pending Receipt
108413329,RA-129196,Pending Receipt
108439761,RA-129287,Pending Receipt
108671560,RA-129836,Pending Refund/Partially Received
108871145,RA-130233,Pending Refund/Partially Received
108932765,RA-130404,Pending Receipt
108935098,RA-130434,Pending Receipt
108954754,RA-130449,Pending Receipt
109053701,RA-130741,Pending Receipt
109195744,RA-131037,Pending Receipt
109249821,RA-131170,Pending Receipt
109298702,RA-131311,Pending Refund/Partially Received
109305545,RA-131338,Pending Refund/Partially Received
109350995,RA-131379,Pending Receipt
109352393,RA-131396,Pending Receipt
109440860,RA-131630,Pending Receipt
109443144,RA-131645,Pending Receipt
109444123,RA-131651,Pending Receipt
109463371,RA-131694,Pending Receipt
109465854,RA-131717,Pending Refund/Partially Received
109465855,RA-131718,Pending Receipt
109473249,RA-131775,Pending Receipt
109522191,RA-131814,Pending Receipt
109582214,RA-131908,Pending Receipt
109606708,RA-131970,Pending Receipt
109616017,RA-131998,Pending Receipt
