Internal ID,Transaction Number,Status
115183674,RA-143053,Pending Receipt
115332663,RA-143319,Pending Receipt
115376838,RA-143397,Pending Receipt
115387263,RA-143416,Pending Receipt
115547877,RA-143601,Pending Receipt
115602062,RA-143759,Pending Receipt
115665688,RA-144094,Pending Receipt
115846212,RA-144453,Pending Receipt
115915096,RA-144723,Pending Receipt
115919104,RA-144740,Pending Receipt
116378861,RA-146179,Pending Receipt
116486181,RA-146504,Pending Receipt
116512430,RA-146593,Pending Receipt
116576603,RA-146821,Pending Receipt
116588191,RA-146885,Pending Receipt
116681646,RA-147049,Pending Receipt
116756861,RA-147247,Pending Receipt
116946219,RA-147738,Pending Receipt
116955974,RA-147773,Pending Receipt
116958073,RA-147790,Pending Refund/Partially Received
117504600,RA-149133,Pending Receipt
117560531,RA-149273,Pending Receipt
