Internal ID,Transaction Number,Status
121025267,RA-155514,Pending Receipt
121025269,RA-155515,Pending Refund/Partially Received
121025274,RA-155516,Pending Receipt
121605329,RA-156351,Pending Receipt
121722878,RA-156568,Pending Receipt
121813628,RA-156748,Pending Receipt
121975222,RA-157000,Pending Receipt
121980563,RA-157030,Pending Receipt
122007758,RA-157080,Pending Receipt
122014551,RA-157096,Pending Receipt
122118365,RA-157307,Pending Receipt
122136242,RA-157343,Pending Receipt
122177518,RA-157444,Pending Receipt
