Internal ID,Transaction Number,Status
120395679,RA-154564,Pending Receipt
121025267,RA-155514,Pending Receipt
121025269,RA-155515,Pending Refund/Partially Received
121025274,RA-155516,Pending Receipt
121365747,RA-156027,Pending Refund/Partially Received
121605329,RA-156351,Pending Receipt
121722878,RA-156568,Pending Receipt
121760870,RA-156635,Pending Receipt
121813628,RA-156748,Pending Receipt
121882803,RA-156848,Pending Receipt
121899531,RA-156878,Pending Receipt
121906171,RA-156889,Pending Receipt
121916605,RA-156904,Pending Receipt
