Bowflex Max Trainer,CAM44887 dofg2efeed1,12/27/2015,12/27/2015,12/21/2015,63,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,1/12/2016,12/27/2015,12/21/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,12/27/2015,12/21/2015,130,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,,12/27/2015,12/21/2015,5,Online Shopping,Web
Bowflex Max Trainer,CAM44900 dovg2evl1,12/27/2015,12/27/2015,12/21/2015,1,Online Video,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,,12/27/2015,12/21/2015,4,Online Shopping,Web
Bowflex Max Trainer,CAM44952 dosbieml1,12/27/2015,12/27/2015,12/21/2015,14,Online Search,Web
Bowflex Max Trainer,CAM44952 dosbieml1,,12/27/2015,12/21/2015,19,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,12/27/2015,12/27/2015,12/21/2015,53,Online Search,Web
Bowflex Max Trainer,CAM45009 dosg2eml1,,12/27/2015,12/21/2015,63,Online Search,Web
Bowflex Max Trainer,CAM45042 SAWDOFBIE,,12/27/2015,12/21/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,12/27/2015,12/21/2015,1,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,12/27/2015,12/21/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,12/27/2015,12/27/2015,12/21/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,12/27/2015,12/21/2015,6,Un-Sourced,Call Center Internal
Treadclimber,CAM45327 1800MAXTRAINER,,12/27/2015,12/21/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45387 DSEESF14E,12/27/2015,12/27/2015,12/21/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,12/27/2015,12/27/2015,12/21/2015,8,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45388 DSEESF14F,,12/27/2015,12/21/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,12/27/2015,12/27/2015,12/21/2015,3,Online Video,Web
Treadclimber,CAM45521 DODADCTML2,,12/27/2015,12/21/2015,1,Online Display,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,12/27/2015,12/27/2015,12/21/2015,2,Online Search,Web
Bowflex Max Trainer,CAM45729 DOSG2ESL6,,12/27/2015,12/21/2015,4,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,,12/27/2015,12/21/2015,6,Online Search,Web
Bowflex Max Trainer,CAM45732 DOSBIESL7,,12/27/2015,12/21/2015,3,Online Search,Web
Treadclimber,CAM45732 DOSBIESL7,,12/27/2015,12/21/2015,1,Online Search,Web
Bowflex Max Trainer,CAM45736 DODRFEDL3,12/27/2015,12/27/2015,12/21/2015,2,Online Display,Web
Bowflex Max Trainer,CAM45736 DODRFEDL3,,12/27/2015,12/21/2015,1,Online Display,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,12/27/2015,12/27/2015,12/21/2015,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45799 DSEESF14I,12/27/2015,12/27/2015,12/21/2015,2,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45799 DSEESF14I,,12/27/2015,12/21/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45800 DSEESF14J,12/27/2015,12/27/2015,12/21/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM45800 DSEESF14J,12/27/2015,12/27/2015,12/21/2015,57,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45800 DSEESF14J,1/6/2016,12/27/2015,12/21/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM45800 DSEESF14J,,12/27/2015,12/21/2015,9,Electronic - Short Form,Web
Treadclimber,CAM45852 DOSG2TSL32,12/27/2015,12/27/2015,12/21/2015,38,Online Search,Web
Treadclimber,CAM45852 DOSG2TSL32,,12/27/2015,12/21/2015,5,Online Search,Web
Bowflex Max Trainer,CAM45909 DODADCEDL2,12/27/2015,12/27/2015,12/21/2015,2,Online Display,Web
Treadclimber,CAM46146 DOSBITSL17,12/27/2015,12/27/2015,12/21/2015,11,Online Search,Web
