Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,8/26/2017,8/26/2017,8/21/2017,72177622,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/26/2017,8/21/2017,72177722,Online Search,Web
Bowflex Max Trainer,CAM51920 HICNN60*LDS17TIC,TouchPoint Integrated Communications,8/26/2017,8/26/2017,8/21/2017,72177822,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51909 BRNGN60*LDS17TIC,TouchPoint Integrated Communications,8/26/2017,8/26/2017,8/21/2017,72177823,Short Form,Call Center Internal
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,8/26/2017,8/21/2017,72177824,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72177825,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72177826,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44551 dosg2esl4,TouchPoint Integrated Communications,,8/26/2017,8/21/2017,72177827,Online Search,Web
Bowflex HVT,CAM50812 DOSG2HSL2,TouchPoint Integrated Communications,,8/26/2017,8/21/2017,72177828,Online Search,Web
Bowflex Max Trainer,CAM50739 DODTABOOLAEDL6,TouchPoint Integrated Communications,,8/26/2017,8/21/2017,72177829,Online Display,Web
Bowflex Revolution,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72177924,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72178024,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72178124,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72178325,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72178424,Electronic - UnSourced,Web
Treadclimber,CAM50739 DODTABOOLAEDL6,TouchPoint Integrated Communications,,8/26/2017,8/21/2017,72178524,Online Display,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,8/26/2017,8/21/2017,72178525,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,8/26/2017,8/26/2017,8/21/2017,72178725,Online Display,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72178824,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/26/2017,8/21/2017,72178825,Electronic - UnSourced,Web
