Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,8/26/2017,8/26/2017,8/21/2017,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,8/26/2017,8/26/2017,8/21/2017,1,Online Search,Web
Bowflex Home Gyms,CAM50720 ICAODG2GDL1,TouchPoint Integrated Communications,8/26/2017,8/26/2017,8/21/2017,1,Online Display,Web
Bowflex HVT,CAM51541 ICAOXFBHSCODE1,Social Code,8/26/2017,8/26/2017,8/21/2017,1,Online Social,Web
Bowflex HVT,CAM51704 ICASHSF17A,Kingstar Media,8/26/2017,8/26/2017,8/21/2017,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,8/27/2017,8/27/2017,8/21/2017,3,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,8/27/2017,8/27/2017,8/21/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44626 1800BOWFLEX_BMT,Internal,8/27/2017,8/27/2017,8/21/2017,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,8/27/2017,8/27/2017,8/21/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM48226 ICAOXFBESCODE002,Social Code,8/27/2017,8/27/2017,8/21/2017,1,Online Social,Web
Bowflex Max Trainer,CAM51116 BLOOC120MAXSVKST,Kingstar Media,8/27/2017,8/27/2017,8/21/2017,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM45694 ICASESF14B,Kingstar Media,9/3/2017,8/27/2017,8/21/2017,1,Electronic - Short Form,Web
Bowflex Home Gyms,CAM48236 ICAOXFBGSCODE002,Social Code,9/5/2017,8/26/2017,8/21/2017,1,Online Social,Web
Bowflex Brand,CAM29862 icawbowflexca,Internal,,8/21/2017,8/21/2017,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,Internal,,8/21/2017,8/21/2017,10,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,,8/21/2017,8/21/2017,5,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM29862 icawbowflexca,Internal,,8/21/2017,8/21/2017,4,Electronic - UnSourced,Web
Treadclimber,CAM29862 icawbowflexca,Internal,,8/21/2017,8/21/2017,4,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,3,Online Search,Web
Bowflex Max Trainer,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,2,Online Search,Web
Bowflex Home Gyms,CAM37662 icaosgcwsl23,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,2,Online Search,Web
Bowflex Selecttech Dumbbells,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Shopping,Web
Bowflex HVT,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,7,Online Shopping,Web
Bowflex Max Trainer,CAM45692 SAWICAOFG2E,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM45694 ICASESF14B,Kingstar Media,,8/21/2017,8/21/2017,2,Electronic - Short Form,Web
Bowflex Selecttech Dumbbells,CAM48231 ICAOXFBDSCODE002,Social Code,,8/21/2017,8/21/2017,1,Online Social,Web
Bowflex Max Trainer,CAM48310 VEL*N180JACKDTIC,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Short Form,Call Center Internal
Bowflex Revolution,CAM48310 VEL*N180JACKDTIC,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM50719 ICAODG2EDL1,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Display,Web
Bowflex HVT,CAM51333 VH1*N60*HVTL*TIC,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51333 VH1*N60*HVTL*TIC,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM51536 FOXNN60*M350STIC,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Short Form,Call Center Internal
Bowflex HVT,CAM51666 ICAOSG2HSL1,TouchPoint Integrated Communications,,8/21/2017,8/21/2017,1,Online Search,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,8/22/2017,8/21/2017,3,Un-Sourced,Call Center Internal
Treadclimber,CAM28157 SALESFOLLOWUP,Internal,,8/22/2017,8/21/2017,1,Un-Sourced,Call Center Internal
Bowflex Brand,CAM29862 icawbowflexca,Internal,,8/22/2017,8/21/2017,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,Internal,,8/22/2017,8/21/2017,11,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,,8/22/2017,8/21/2017,6,Electronic - UnSourced,Web
Bowflex Revolution,CAM29862 icawbowflexca,Internal,,8/22/2017,8/21/2017,2,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM29862 icawbowflexca,Internal,,8/22/2017,8/21/2017,10,Electronic - UnSourced,Web
Treadclimber,CAM29862 icawbowflexca,Internal,,8/22/2017,8/21/2017,2,Electronic - UnSourced,Web
Treadclimber,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,1,Online Search,Web
Treadclimber,CAM30896 SAWICAOSGCT,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,5,Online Search,Web
Bowflex Max Trainer,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,3,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,4,Online Search,Web
Treadclimber,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM40819 1800SELECTTECH,Internal,,8/22/2017,8/21/2017,2,Un-Sourced,Call Center Internal
Bowflex Revolution,CAM40829 1800REVOLUTION,Internal,,8/22/2017,8/21/2017,1,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,1,Online Search,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,,8/22/2017,8/21/2017,1,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,2,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,5,Online Shopping,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,Kingstar Media,,8/22/2017,8/21/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM47172 DOXFBEGL1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,1,Online Social,Call Center Internal
Bowflex Selecttech Dumbbells,CAM48231 ICAOXFBDSCODE002,Social Code,,8/22/2017,8/21/2017,1,Online Social,Web
Bowflex Home Gyms,CAM48235 ICAOXFBGSCODE001,Social Code,,8/22/2017,8/21/2017,1,Online Social,Call Center Internal
Bowflex Max Trainer,CAM50435 FOODC120DANYEKST,Kingstar Media,,8/22/2017,8/21/2017,1,Short Form,Call Center Internal
Bowflex Selecttech Dumbbells,CAM50435 FOODC120DANYEKST,Kingstar Media,,8/22/2017,8/21/2017,1,Short Form,Call Center Internal
Treadclimber,CAM50435 FOODC120DANYEKST,Kingstar Media,,8/22/2017,8/21/2017,1,Short Form,Call Center Internal
Bowflex Selecttech Dumbbells,CAM50721 ICAODG2DDL1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,2,Online Display,Web
Bowflex HVT,CAM50745 1800HVT,Internal,,8/22/2017,8/21/2017,1,Un-Sourced,Call Center Internal
Bowflex HVT,CAM51542 ICAOXFBHSCODE2,Social Code,,8/22/2017,8/21/2017,1,Online Social,Web
Bowflex HVT,CAM51666 ICAOSG2HSL1,TouchPoint Integrated Communications,,8/22/2017,8/21/2017,1,Online Search,Web
Bowflex Brand,CAM29862 icawbowflexca,Internal,,8/23/2017,8/21/2017,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,Internal,,8/23/2017,8/21/2017,4,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,,8/23/2017,8/21/2017,2,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM29862 icawbowflexca,Internal,,8/23/2017,8/21/2017,3,Electronic - UnSourced,Web
Treadclimber,CAM29862 icawbowflexca,Internal,,8/23/2017,8/21/2017,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,2,Online Search,Call Center Internal
Bowflex Selecttech Dumbbells,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,1,Online Search,Call Center Internal
Bowflex HVT,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,2,Online Search,Web
Bowflex Home Gyms,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,4,Online Search,Web
Bowflex Max Trainer,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,2,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,3,Online Search,Web
Bowflex Home Gyms,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,3,Online Search,Web
Bowflex Max Trainer,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,1,Online Search,Web
Treadclimber,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM44423 icaosgcdsl10,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,,8/23/2017,8/21/2017,1,Online Search,Web
