Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,8/11/2014,8/14/2014,1,1599.00
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,8/11/2014,8/14/2014,1,549.00
Bowflex Home Gyms,Online Search,CAM31268 icaosgcwgl1cab,Web,8/11/2014,8/14/2014,3,3347.00
Bowflex Home Gyms,Online Search,CAM41258 icaosgcwsl30,Web,8/11/2014,8/14/2014,1,728.99
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,8/11/2014,8/15/2014,2,2528.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,8/11/2014,8/15/2014,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/11/2014,8/15/2014,3,6417.20
Bowflex Home Gyms,Online Search,CAM31268 icaosgcwgl1cab,Web,8/11/2014,8/16/2014,1,1439.10
Bowflex Home Gyms,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,8/11/2014,8/16/2014,1,2969.10
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,8/18/2014,8/18/2014,1,1979.10
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,8/18/2014,8/18/2014,1,1900.00
Bowflex Home Gyms,Online Search,CAM31268 icaosgcwgl1cab,Web,8/18/2014,8/18/2014,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,8/18/2014,8/19/2014,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,8/18/2014,8/19/2014,1,1439.10
Bowflex Home Gyms,Online Search,CAM40991 icaosbcggl1cab,Web,8/18/2014,8/19/2014,1,1439.10
Bowflex Home Gyms,Electronic - UnSourced,CAM128 1800BOWFLEX_CAB,Call Center Internal,8/18/2014,8/20/2014,2,3149.00
Bowflex Home Gyms,Electronic - UnSourced,CAM40739 ICAWHOME,Web,8/18/2014,8/20/2014,1,1439.10
Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,8/18/2014,8/20/2014,1,1650.00
Bowflex Home Gyms,Online Search,CAM31268 icaosgcwgl1cab,Web,8/18/2014,8/20/2014,2,2878.20
Bowflex Home Gyms,Electronic - UnSourced,CAM28364 icaw1sitecab,Web,8/18/2014,8/21/2014,1,1798.99
