Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,2/16/2015,2/17/2015,1,2159.10
Treadclimber,Electronic - Short Form,CAM30462 SAWGETATCCA,Call Center Internal,2/16/2015,2/17/2015,1,1899.00
Treadclimber,Online Search,CAM30841 icaosgctsl2,Call Center Internal,2/16/2015,2/17/2015,1,2159.10
Treadclimber,Online Search,CAM30896 SAWICAOSGCT,Call Center Internal,2/16/2015,2/17/2015,1,2159.10
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,2/16/2015,2/17/2015,2,4078.10
Treadclimber,Print,CAM41203 PCCTIS0002,Call Center Internal,2/16/2015,2/17/2015,1,2159.10
Treadclimber,Online Search,CAM4190 SAWICAOSGCT_TRC,Call Center Internal,2/16/2015,2/17/2015,1,2159.10
Treadclimber,Short Form,CAM47043 APTNC120ALOHAKST,Call Center Internal,2/16/2015,2/17/2015,1,2159.10
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,2/16/2015,2/17/2015,4,12016.18
Treadclimber,Online Search,CAM44489 icaosgctml2,Web,2/16/2015,2/17/2015,1,2074.00
Treadclimber,Electronic - UnSourced,CAM132 1800BOWFLEX_CAT,Call Center Internal,2/16/2015,2/18/2015,1,2159.10
Treadclimber,Short Form,CAM35680 INTELEMEDIACA,Call Center Internal,2/16/2015,2/18/2015,1,1650.00
Treadclimber,Short Form,CAM46658 DISAN60*ALONYTIC,Call Center Internal,2/16/2015,2/18/2015,1,1750.00
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,2/16/2015,2/18/2015,1,2999.00
Treadclimber,Electronic - UnSourced,CAM40760 ICATHOME,Web,2/16/2015,2/18/2015,1,3239.10
Treadclimber,Online Search,CAM44489 icaosgctml2,Web,2/16/2015,2/18/2015,1,2159.10
