Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
Online Search,CAM32376 dosg2csl1,9/1/2014,9/2/2014,3,1231.21
Online Search,CAM32380 dosmsncsl1,9/1/2014,9/2/2014,3,463.59
Online Shopping,CAM33953 SAWDOFG2C,9/1/2014,9/2/2014,1,1499.00
Online Shopping,CAM33966 dofg2cfeed1,9/1/2014,9/2/2014,5,338.31
Online Shopping,CAM33968 dofpgcfeed1,9/1/2014,9/2/2014,1,1722.92
Online Search,CAM32308 SAWDOSMSNC,9/1/2014,9/3/2014,1,99.00
Online Search,CAM32376 dosg2csl1,9/1/2014,9/3/2014,2,86.11
Online Search,CAM32380 dosmsncsl1,9/1/2014,9/3/2014,2,793.88
Online Shopping,CAM33953 SAWDOFG2C,9/1/2014,9/3/2014,1,422.94
Online Shopping,CAM33966 dofg2cfeed1,9/1/2014,9/3/2014,2,38.11
Online Shopping,CAM33972 dofszcfeed1,9/1/2014,9/3/2014,1,66.33
Online Search,CAM32307 SAWDOSG2C,9/1/2014,9/4/2014,1,498.16
Online Search,CAM32376 dosg2csl1,9/1/2014,9/4/2014,1,17.47
Online Search,CAM32380 dosmsncsl1,9/1/2014,9/4/2014,1,234.81
Online Shopping,CAM33960 SAWDOFSZC,9/1/2014,9/4/2014,1,1631.02
Online Shopping,CAM33966 dofg2cfeed1,9/1/2014,9/4/2014,5,3591.75
Online Shopping,CAM33968 dofpgcfeed1,9/1/2014,9/4/2014,1,1738.91
Online Shopping,CAM33972 dofszcfeed1,9/1/2014,9/4/2014,1,518.50
Online Shopping,CAM33953 SAWDOFG2C,9/1/2014,9/5/2014,2,2384.73
Online Shopping,CAM33956 SAWDOFPGC,9/1/2014,9/5/2014,1,2134.04
Online Shopping,CAM33966 dofg2cfeed1,9/1/2014,9/5/2014,8,6000.69
Online Search,CAM32307 SAWDOSG2C,9/1/2014,9/6/2014,1,731.95
Online Search,CAM32380 dosmsncsl1,9/1/2014,9/6/2014,2,1294.11
Online Shopping,CAM33966 dofg2cfeed1,9/1/2014,9/6/2014,5,5215.25
Online Shopping,CAM33967 dofnextcfeed1,9/1/2014,9/6/2014,2,1110.70
Online Shopping,CAM33972 dofszcfeed1,9/1/2014,9/6/2014,1,53.04
Online Search,CAM32380 dosmsncsl1,9/1/2014,9/7/2014,2,1757.67
Online Shopping,CAM33956 SAWDOFPGC,9/1/2014,9/7/2014,1,105.93
Online Shopping,CAM33966 dofg2cfeed1,9/1/2014,9/7/2014,4,1700.34
Online Shopping,CAM33968 dofpgcfeed1,9/1/2014,9/7/2014,1,33.08
Online Search,CAM32307 SAWDOSG2C,9/8/2014,9/8/2014,1,399.00
Online Search,CAM32376 dosg2csl1,9/8/2014,9/8/2014,2,25.64
Online Search,CAM32380 dosmsncsl1,9/8/2014,9/8/2014,1,47.46
Online Shopping,CAM33953 SAWDOFG2C,9/8/2014,9/8/2014,2,3620.93
