Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Body,CAM46083 1800BOWFLEXBODY,,11/11/2014,11/10/2014,1,Un-Sourced,Call Center Internal
Bowflex Body,CAM44191 dseesf14d,,11/23/2014,11/17/2014,1,Electronic - Short Form,Web
Bowflex Body,CAM133 1800BOWFLEX_TRC,,11/23/2014,11/17/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex Body,CAM46362 DEGZBDY,,11/19/2014,11/17/2014,1,Electronic - UnSourced,Web
Bowflex Body,CAM46362 DEGZBDY,,11/20/2014,11/17/2014,4,Electronic - UnSourced,Web
Bowflex Body,CAM37655 dosbitsl10,,11/22/2014,11/17/2014,1,Online Search,Web
Bowflex Body,CAM44230 SAWDOSG2E,,11/20/2014,11/17/2014,1,Online Search,Call Center Internal
Bowflex Body,CAM46298 SAWDOSBIZ,11/20/2014,11/20/2014,11/17/2014,1,Online Search,Call Center Internal
Bowflex Body,CAM46372 DOSBIZGL1BD,,11/23/2014,11/17/2014,1,Online Search,Web
Bowflex Body,CAM46364 DOXFBZFEATPROD,,11/20/2014,11/17/2014,1,Online Social,Web
Bowflex Body,CAM46364 DOXFBZFEATPROD,,11/22/2014,11/17/2014,1,Online Social,Web
Bowflex Body,CAM46364 DOXFBZFEATPROD,,11/23/2014,11/17/2014,1,Online Social,Web
