Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM46526 DCBHOMEWIN15,,2/17/2015,2/16/2015,1,Catalog,Web
Bowflex Home Gyms,CAM46526 DCBHOMEWIN15,,2/18/2015,2/16/2015,2,Catalog,Web
Bowflex Home Gyms,CAM46526 DCBHOMEWIN15,,2/21/2015,2/16/2015,5,Catalog,Web
Bowflex Home Gyms,CAM46526 DCBHOMEWIN15,,2/22/2015,2/16/2015,1,Catalog,Web
Bowflex Home Gyms,CAM26131 dreq47radiobf,2/20/2015,2/20/2015,2/16/2015,1,Electronic - Radio,Web
Bowflex Home Gyms,CAM36078 dsetsf11d,,2/19/2015,2/16/2015,1,Electronic - Short Form,Web
Bowflex Home Gyms,CAM36104 SAWSF11E,,2/22/2015,2/16/2015,3,Electronic - Short Form,Call Center Internal
Bowflex Revolution,CAM36104 SAWSF11E,,2/22/2015,2/16/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM4210 SAWWEBBF_BFX,,2/22/2015,2/16/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM44215 SAWDSEESF14A,,2/22/2015,2/16/2015,2,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM5676 SAWWEBBF,,2/18/2015,2/16/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM5676 SAWWEBBF,,2/19/2015,2/16/2015,2,Electronic - Short Form,Call Center Internal
Bowflex Revolution,CAM5676 SAWWEBBF,,2/19/2015,2/16/2015,2,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM5676 SAWWEBBF,2/20/2015,2/20/2015,2/16/2015,1,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM5676 SAWWEBBF,,2/20/2015,2/16/2015,5,Electronic - Short Form,Call Center Internal
Bowflex Home Gyms,CAM11920 SAWWEBST,,2/22/2015,2/16/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM127 1800BOWFLEX_BFC,,2/17/2015,2/16/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM127 1800BOWFLEX_BFC,,2/20/2015,2/16/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM136 1800NAUTILUS_BFX,,2/17/2015,2/16/2015,1,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM136 1800NAUTILUS_BFX,,2/20/2015,2/16/2015,2,Electronic - UnSourced,Call Center Internal
Bowflex Home Gyms,CAM16414 DEGBFTRC,,2/18/2015,2/16/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,2/17/2015,2/16/2015,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,2/18/2015,2/16/2015,4,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,2/19/2015,2/16/2015,5,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,2/20/2015,2/16/2015,1,Electronic - UnSourced,Web
