Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Max Trainer,Electronic - Short Form,CAM44172 dseesf14a,Call Center Internal,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Electronic - Short Form,CAM44215 SAWDSEESF14A,Call Center Internal,2/16/2015,2/17/2015,1,1599.00
Bowflex Max Trainer,Online Display,CAM44220 SAWDODRFE,Call Center Internal,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Call Center Internal,2/16/2015,2/17/2015,5,7995.00
Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,Call Center Internal,2/16/2015,2/17/2015,8,12192.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44236 SAWMAX,Call Center Internal,2/16/2015,2/17/2015,12,16938.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44433 dege1sitemx,Call Center Internal,2/16/2015,2/17/2015,1,1599.00
Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,Call Center Internal,2/16/2015,2/17/2015,1,1599.00
Bowflex Max Trainer,Short Form,CAM44498 SUNDN120BFMAXTIC,Call Center Internal,2/16/2015,2/17/2015,2,4468.10
Bowflex Max Trainer,Short Form,CAM44597 PALLN120BFMAXTIC,Call Center Internal,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,2/16/2015,2/17/2015,11,16189.00
Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Call Center Internal,2/16/2015,2/17/2015,3,3197.00
Bowflex Max Trainer,Electronic - UnSourced,CAM45118 SAWBMTDIGIK,Call Center Internal,2/16/2015,2/17/2015,1,1599.00
Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,2/16/2015,2/17/2015,23,32857.90
Bowflex Max Trainer,Short Form,CAM45601 VEL*N180BFMAXTIC,Call Center Internal,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Short Form,CAM46908 FOX*NVODNOTSTTIC,Call Center Internal,2/16/2015,2/17/2015,1,1099.00
Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Third Party Call Center - Evolve,2/16/2015,2/17/2015,1,999.00
Bowflex Max Trainer,Online Shopping,CAM45043 SAWDOFG2E,Third Party Call Center - Evolve,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Electronic - Short Form,CAM44172 dseesf14a,Web,2/16/2015,2/17/2015,7,9142.99
Bowflex Max Trainer,Electronic - Short Form,CAM44191 dseesf14d,Web,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM44429 dosbiesl1,Web,2/16/2015,2/17/2015,10,13289.99
Bowflex Max Trainer,Electronic - UnSourced,CAM44433 dege1sitemx,Web,2/16/2015,2/17/2015,23,34386.04
Bowflex Max Trainer,Online Search,CAM44435 dosg2egl1mx,Web,2/16/2015,2/17/2015,8,11932.10
Bowflex Max Trainer,Online Search,CAM44436 dosg2esl2,Web,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,Web,2/16/2015,2/17/2015,24,35026.00
Bowflex Max Trainer,Online Search,CAM44520 dosbiegl1mx,Web,2/16/2015,2/17/2015,5,6895.00
Bowflex Max Trainer,Online Search,CAM44551 dosg2esl4,Web,2/16/2015,2/17/2015,1,1749.00
Bowflex Max Trainer,Online Search,CAM44560 dosg2esl5,Web,2/16/2015,2/17/2015,1,1599.00
Bowflex Max Trainer,Online Search,CAM44565 dosbiesl5,Web,2/16/2015,2/17/2015,1,1599.00
Bowflex Max Trainer,Online Shopping,CAM44887 dofg2efeed1,Web,2/16/2015,2/17/2015,25,36934.03
Bowflex Max Trainer,Online Search,CAM44952 dosbieml1,Web,2/16/2015,2/17/2015,2,3197.99
Bowflex Max Trainer,Online Search,CAM45009 dosg2eml1,Web,2/16/2015,2/17/2015,3,4297.00
Bowflex Max Trainer,Electronic - Short Form,CAM45387 DSEESF14E,Web,2/16/2015,2/17/2015,1,1499.00
Bowflex Max Trainer,Electronic - Short Form,CAM45388 DSEESF14F,Web,2/16/2015,2/17/2015,1,1499.00
