Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Boost,CAM133 1800BOWFLEX_TRC,,8/21/2014,8/18/2014,1,Electronic - UnSourced,Call Center Internal
Boost,CAM16414 DEGBFTRC,,8/21/2014,8/18/2014,1,Electronic - UnSourced,Web
Boost,CAM16414 DEGBFTRC,,8/23/2014,8/18/2014,1,Electronic - UnSourced,Web
Boost,CAM41178 dega1sitebo,,8/21/2014,8/18/2014,1,Electronic - UnSourced,Web
Boost,CAM41178 dega1sitebo,,8/22/2014,8/18/2014,1,Electronic - UnSourced,Web
Boost,CAM41178 dega1sitebo,,8/23/2014,8/18/2014,2,Electronic - UnSourced,Web
Boost,CAM6025 SAWWEBTC,,8/21/2014,8/18/2014,1,Electronic - UnSourced,Call Center Internal
Boost,CAM6110 SAWGOOGTC,,8/21/2014,8/18/2014,1,Online,Third Party Call Center - Evolve
Boost,CAM30793 SAWDOSG2D,,8/23/2014,8/18/2014,1,Online Search,Call Center Internal
Boost,CAM31082 dosg2tgl1tc,,8/22/2014,8/18/2014,1,Online Search,Web
Boost,CAM32595 SAWDOSBIT,,8/21/2014,8/18/2014,1,Online Search,Call Center Internal
Boost,CAM37655 dosbitsl10,,8/24/2014,8/18/2014,2,Online Search,Web
Boost,CAM38842 dosg2tsl27,,8/24/2014,8/18/2014,1,Online Search,Call Center Internal
Boost,CAM41183 dosg2asl1,,8/22/2014,8/18/2014,1,Online Search,Web
Boost,CAM44230 SAWDOSG2E,,8/24/2014,8/18/2014,1,Online Search,Third Party Call Center - Evolve
Boost,CAM45602 SUNDN180BFMAXTIC,,8/24/2014,8/18/2014,1,Short Form,Third Party Call Center - Evolve
Boost,CAM40825 1800TREADCLIMBER,,8/22/2014,8/18/2014,1,Un-Sourced,Call Center Internal
Boost,CAM44843 dcbhomesum14,,8/26/2014,8/25/2014,1,Catalog,Web
Boost,CAM44843 dcbhomesum14,,8/29/2014,8/25/2014,1,Catalog,Web
Boost,CAM36608 dsetsf12a,,8/30/2014,8/25/2014,1,Electronic - Short Form,Web
Boost,CAM5676 SAWWEBBF,,8/28/2014,8/25/2014,1,Electronic - Short Form,Call Center Internal
Boost,CAM11920 SAWWEBST,,8/30/2014,8/25/2014,1,Electronic - UnSourced,Call Center Internal
Boost,CAM133 1800BOWFLEX_TRC,,8/26/2014,8/25/2014,2,Electronic - UnSourced,Call Center Internal
Boost,CAM133 1800BOWFLEX_TRC,,8/31/2014,8/25/2014,1,Electronic - UnSourced,Call Center Internal
Boost,CAM41188 degaboo,,8/25/2014,8/25/2014,1,Electronic - UnSourced,Web
Boost,CAM41188 degaboo,,8/27/2014,8/25/2014,1,Electronic - UnSourced,Web
Boost,CAM41188 degaboo,,8/28/2014,8/25/2014,1,Electronic - UnSourced,Web
Boost,CAM41188 degaboo,,8/29/2014,8/25/2014,5,Electronic - UnSourced,Web
Boost,CAM41188 degaboo,,8/30/2014,8/25/2014,1,Electronic - UnSourced,Web
Boost,CAM41189 degemax,,8/27/2014,8/25/2014,1,Electronic - UnSourced,Web
Boost,CAM44236 SAWMAX,,8/27/2014,8/25/2014,1,Electronic - UnSourced,Call Center Internal
Boost,CAM44236 SAWMAX,,8/29/2014,8/25/2014,1,Electronic - UnSourced,Call Center Internal
