Bowflex Body,CAM44887 dofg2efeed1,,10/9/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,10/9/2015,10/5/2015,20,Online Shopping,Web
Treadclimber,CAM44887 dofg2efeed1,,10/9/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,10/10/2015,10/10/2015,10/5/2015,19,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,10/10/2015,10/5/2015,22,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,10/11/2015,10/11/2015,10/5/2015,15,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,10/11/2015,10/5/2015,25,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,10/5/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,10/6/2015,10/5/2015,2,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,10/7/2015,10/5/2015,2,Online Shopping,Web
Bowflex Body,CAM44897 dofpgefeed1,,10/8/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,10/8/2015,10/5/2015,2,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,10/9/2015,10/9/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,10/10/2015,10/10/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,10/10/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44897 dofpgefeed1,,10/11/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44937 dofszefeed1,10/8/2015,10/8/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44937 dofszefeed1,,10/9/2015,10/5/2015,2,Online Shopping,Web
Bowflex Max Trainer,CAM44937 dofszefeed1,,10/11/2015,10/5/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM45043 SAWDOFG2E,10/5/2015,10/5/2015,10/5/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,10/5/2015,10/5/2015,3,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,10/5/2015,10/5/2015,2,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,10/6/2015,10/6/2015,10/5/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,10/6/2015,10/5/2015,1,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,10/6/2015,10/5/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,10/7/2015,10/5/2015,2,Online Shopping,Call Center Internal
Treadclimber,CAM45043 SAWDOFG2E,,10/7/2015,10/5/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,10/9/2015,10/5/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,10/10/2015,10/5/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,,10/11/2015,10/5/2015,1,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM45043 SAWDOFG2E,10/6/2015,10/6/2015,10/5/2015,1,Online Shopping,Third Party Call Center - Evolve
