Product Interest,Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,3/23/2015,3/26/2015,8,17932.59
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,3/23/2015,3/26/2015,8,17632.49
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,3/23/2015,3/26/2015,4,9936.30
Treadclimber,Online,CAM6110 SAWGOOGTC,Call Center Internal,3/23/2015,3/26/2015,1,1999.10
Treadclimber,Electronic - Short Form,CAM36287 SAWSF11G,Third Party Call Center - Evolve,3/23/2015,3/26/2015,1,1198.99
Treadclimber,Electronic - UnSourced,CAM16414 DEGBFTRC,Web,3/23/2015,3/26/2015,6,16404.39
Treadclimber,Electronic - UnSourced,CAM23879 degt1sitetc,Web,3/23/2015,3/26/2015,4,7996.39
Treadclimber,Online Search,CAM31082 dosg2tgl1tc,Web,3/23/2015,3/26/2015,1,1999.10
Treadclimber,Electronic - Short Form,CAM36608 dsetsf12a,Web,3/23/2015,3/26/2015,1,1198.99
Treadclimber,Online Search,CAM37440 dosg2tsl21,Web,3/23/2015,3/26/2015,7,15133.59
Treadclimber,Online Search,CAM37655 dosbitsl10,Web,3/23/2015,3/26/2015,1,1198.99
Treadclimber,Online Search,CAM43666 dosg2tmobile4,Web,3/23/2015,3/26/2015,1,1999.10
Treadclimber,Online Social,CAM47167 DOXFBTMARMAD15A,Web,3/23/2015,3/26/2015,1,2799.00
Treadclimber,Online,CAM10390 SAWWEBCTC,Call Center Internal,3/23/2015,3/27/2015,1,1999.10
Treadclimber,Electronic - UnSourced,CAM133 1800BOWFLEX_TRC,Call Center Internal,3/23/2015,3/27/2015,5,12935.30
Treadclimber,Electronic - Short Form,CAM36104 SAWSF11E,Call Center Internal,3/23/2015,3/27/2015,2,149.80
Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,3/23/2015,3/27/2015,2,3958.20
Treadclimber,Online Search,CAM43666 dosg2tmobile4,Call Center Internal,3/23/2015,3/27/2015,1,1599.00
Treadclimber,Short Form,CAM47110 DISEN60*ALOHATIC,Call Center Internal,3/23/2015,3/27/2015,1,1999.10
Treadclimber,Electronic - UnSourced,CAM6025 SAWWEBTC,Call Center Internal,3/23/2015,3/27/2015,3,6967.30
Treadclimber,Online,CAM6110 SAWGOOGTC,Third Party Call Center - Evolve,3/23/2015,3/27/2015,1,3298.99
Treadclimber,Electronic - UnSourced,CAM16414 DEGBFTRC,Web,3/23/2015,3/27/2015,3,4197.08
Treadclimber,Electronic - UnSourced,CAM23879 degt1sitetc,Web,3/23/2015,3/27/2015,1,2969.10
Treadclimber,Online Search,CAM31082 dosg2tgl1tc,Web,3/23/2015,3/27/2015,2,4968.20
