Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex UpperCut,CAM27557 Bowflex Catalog,,12/17/2014,12/15/2014,1,Catalog,Call Center Internal
Bowflex UpperCut,CAM46149 DCBHOMEHOL14,,12/18/2014,12/15/2014,2,Catalog,Web
Bowflex UpperCut,CAM46149 DCBHOMEHOL14,,12/20/2014,12/15/2014,1,Catalog,Web
Bowflex UpperCut,CAM44215 SAWDSEESF14A,,12/17/2014,12/15/2014,1,Electronic - Short Form,Call Center Internal
Bowflex UpperCut,CAM127 1800BOWFLEX_BFC,,12/17/2014,12/15/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM25756 DEGSAWBFG,,12/16/2014,12/15/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM38393 degxupc,,12/16/2014,12/15/2014,5,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/17/2014,12/15/2014,3,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/18/2014,12/15/2014,2,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/19/2014,12/15/2014,3,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/20/2014,12/15/2014,4,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/21/2014,12/15/2014,4,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38489 SAWDEGXUPC,,12/16/2014,12/15/2014,2,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM38489 SAWDEGXUPC,12/17/2014,12/17/2014,12/15/2014,2,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM38489 SAWDEGXUPC,,12/18/2014,12/15/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM38489 SAWDEGXUPC,,12/20/2014,12/15/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM38489 SAWDEGXUPC,,12/21/2014,12/15/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM4219 SAWWEBTC_BFC,,12/17/2014,12/15/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM46427 DEGXQ414BGGUP,,12/16/2014,12/15/2014,1,Electronic - UnSourced,Web
Bowflex UpperCut,CAM44220 SAWDODRFE,,12/16/2014,12/15/2014,1,Online Display,Call Center Internal
Bowflex UpperCut,CAM32380 dosmsncsl1,,12/18/2014,12/15/2014,1,Online Search,Web
Bowflex UpperCut,CAM38606 dosbixsl1,,12/21/2014,12/15/2014,2,Online Search,Web
Bowflex UpperCut,CAM38609 dosg2xsl1,,12/16/2014,12/15/2014,1,Online Search,Web
Bowflex UpperCut,CAM38609 dosg2xsl1,,12/17/2014,12/15/2014,1,Online Search,Web
Bowflex UpperCut,CAM38609 dosg2xsl1,,12/18/2014,12/15/2014,1,Online Search,Web
Bowflex UpperCut,CAM38610 dosg2xsl2,,12/18/2014,12/15/2014,2,Online Search,Web
Bowflex UpperCut,CAM43845 MSGNN120GRDGELWD,12/18/2014,12/18/2014,12/15/2014,1,Short Form,Call Center Internal
Bowflex UpperCut,CAM43846 TVNEN120GRDGELWD,12/21/2014,12/21/2014,12/15/2014,1,Short Form,Call Center Internal
Bowflex UpperCut,CAM28157 SALESFOLLOWUP,,12/18/2014,12/15/2014,1,Un-Sourced,Call Center Internal
Bowflex UpperCut,CAM46149 DCBHOMEHOL14,,12/24/2014,12/22/2014,1,Catalog,Web
Bowflex UpperCut,CAM46149 DCBHOMEHOL14,,12/28/2014,12/22/2014,1,Catalog,Web
Bowflex UpperCut,CAM38592 dsexsf13a,,12/24/2014,12/22/2014,1,Electronic - Short Form,Web
Bowflex UpperCut,CAM127 1800BOWFLEX_BFC,,12/23/2014,12/22/2014,1,Electronic - UnSourced,Call Center Internal
Bowflex UpperCut,CAM38393 degxupc,,12/22/2014,12/22/2014,5,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/23/2014,12/22/2014,3,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/24/2014,12/22/2014,3,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/25/2014,12/22/2014,5,Electronic - UnSourced,Web
Bowflex UpperCut,CAM38393 degxupc,,12/26/2014,12/22/2014,4,Electronic - UnSourced,Web
