Internal ID,Transaction Number,Status
102617808,RA-113007,Pending Receipt
102649749,RA-113095,Pending Receipt
102800835,RA-113385,Pending Receipt
102895781,RA-113549,Pending Receipt
102920772,RA-113595,Pending Receipt
103154446,RA-114198,Pending Receipt
103155495,RA-114208,Pending Refund/Partially Received
103294831,RA-114598,Pending Receipt
103294832,RA-114599,Pending Receipt
103718531,RA-115276,Pending Receipt
103834440,RA-115555,Pending Receipt
103927870,RA-115883,Pending Receipt
103978578,RA-116017,Pending Receipt
104242562,RA-116623,Pending Receipt
104277693,RA-116682,Pending Receipt
104390705,RA-116803,Pending Refund/Partially Received
104667517,RA-117351,Pending Receipt
104775306,RA-117611,Pending Receipt
104877502,RA-117767,Pending Receipt
104913181,RA-117859,Pending Receipt
104947445,RA-117956,Pending Receipt
104949311,RA-117973,Pending Receipt
104951962,RA-118000,Pending Receipt
104955348,RA-118033,Pending Receipt
104961896,RA-118091,Pending Receipt
105002095,RA-118215,Pending Receipt
105117235,RA-118387,Pending Receipt
105125088,RA-118414,Pending Receipt
105155754,RA-118525,Pending Receipt
105158535,RA-118536,Pending Receipt
105203222,RA-118703,Pending Receipt
105208136,RA-118758,Pending Receipt
105234875,RA-118782,Pending Receipt
105282500,RA-118958,Pending Receipt
105361897,RA-119024,Pending Receipt
105364254,RA-119047,Pending Receipt
105364684,RA-119048,Pending Receipt
105366885,RA-119055,Pending Receipt
105367880,RA-119067,Pending Receipt
105367882,RA-119068,Pending Refund/Partially Received
105369070,RA-119078,Pending Receipt
105410397,RA-119212,Pending Receipt
105414909,RA-119240,Pending Receipt
105418549,RA-119260,Pending Receipt
105454537,RA-119376,Pending Receipt
105486540,RA-119487,Pending Receipt
105534218,RA-119626,Pending Receipt
