Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/26/2017,2,5177.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/26/2017,3,1966.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/26/2017,0,75.92
Bowflex Max Trainer,Bowflex Home Gyms,Online Display,CAM50719 ICAODG2EDL1,Web,4/24/2017,4/26/2017,0,118.99
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,4/24/2017,4/26/2017,1,568.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45691 SAWICAOSBCE,Call Center Internal,4/24/2017,4/26/2017,0,159.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,Call Center Internal,4/24/2017,4/26/2017,1,2198.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,Web,4/24/2017,4/26/2017,1,618.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,Web,4/24/2017,4/26/2017,1,2158.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,4/24/2017,4/26/2017,1,1999.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,4/24/2017,4/26/2017,0,99.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,4/24/2017,4/26/2017,2,5116.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,4/24/2017,4/26/2017,0,.00
Treadclimber,Bowflex Max Trainer,Print,CAM50032 P0117WEWATELSA,Call Center Internal,4/24/2017,4/26/2017,1,2158.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM48764 NMAXN120J14FSTIC,Call Center Internal,4/24/2017,4/26/2017,0,159.00
Treadclimber,Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,4/24/2017,4/26/2017,1,2847.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/26/2017,1,1899.00
Bowflex Brand,Bowflex Max Trainer,Un-Sourced,CAM49456 BCARECREDIT,Call Center Internal,4/24/2017,4/26/2017,1,1349.00
Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Electronic - Short Form,CAM45694 ICASESF14B,Web,4/24/2017,4/27/2017,1,399.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,4/24/2017,4/27/2017,2,3586.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,4/24/2017,4/27/2017,0,99.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/27/2017,0,54.98
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/27/2017,4,9755.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/27/2017,3,2683.98
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/27/2017,1,2448.00
Bowflex Brand,Bowflex Max Trainer,Email - Post Conversion,CAM50463 ICAMBBWEM5712,Call Center Internal,4/24/2017,4/27/2017,1,1999.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Email - Post Conversion,CAM50463 ICAMBBWEM5712,Web,4/24/2017,4/27/2017,1,699.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Display,CAM50721 ICAODG2DDL1,Web,4/24/2017,4/27/2017,1,399.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44223 SAWDOSBIE,Call Center Internal,4/24/2017,4/27/2017,1,2799.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM44223 SAWDOSBIE,Call Center Internal,4/24/2017,4/27/2017,0,.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM44539 SAWDOSG2EMOBILE2,Call Center Internal,4/24/2017,4/27/2017,1,2363.99
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,Web,4/24/2017,4/27/2017,3,2294.99
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM37662 icaosgcwsl23,Web,4/24/2017,4/27/2017,1,1999.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,4/24/2017,4/27/2017,2,1098.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,4/24/2017,4/27/2017,1,2158.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,4/24/2017,4/27/2017,0,99.00
Bowflex Home Gyms,Bowflex Home Gyms,Online Shopping,CAM45438 ICAOFG2GFEED1,Call Center Internal,4/24/2017,4/27/2017,1,1798.00
Treadclimber,Bowflex Max Trainer,Short Form,CAM50768 GET*N120DA749TIC,Call Center Internal,4/24/2017,4/27/2017,1,2858.00
Treadclimber,Treadclimber,Short Form,CAM50768 GET*N120DA749TIC,Call Center Internal,4/24/2017,4/27/2017,0,.00
Bowflex Max Trainer,Bowflex Home Gyms,Short Form,CAM50776 GRITN120SOFTYTIC,Call Center Internal,4/24/2017,4/27/2017,1,1813.96
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Un-Sourced,CAM40819 1800SELECTTECH,Call Center Internal,4/24/2017,4/27/2017,1,568.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,4/24/2017,4/27/2017,1,3117.00
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,4/24/2017,4/27/2017,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/27/2017,2,5056.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/27/2017,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Web,4/24/2017,4/28/2017,1,1999.00
Bowflex Brand,- None -,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,4/24/2017,4/28/2017,0,189.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,4/24/2017,4/28/2017,1,568.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/28/2017,0,253.93
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/28/2017,3,6355.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/28/2017,3,1876.99
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/28/2017,0,99.00
Bowflex Home Gyms,Bowflex Max Trainer,Online Search,CAM30796 SAWDOSG2G,Call Center Internal,4/24/2017,4/28/2017,1,1438.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,Web,4/24/2017,4/28/2017,0,189.98
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,4/24/2017,4/28/2017,3,1716.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45842 ICAOSGCESL9,Web,4/24/2017,4/28/2017,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,4/24/2017,4/28/2017,3,4697.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM48225 ICAOXFBESCODE001,Web,4/24/2017,4/28/2017,2,4148.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Social,CAM48230 ICAOXFBDSCODE001,Web,4/24/2017,4/28/2017,1,399.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM50589 CHCHC120MX121KST,Call Center Internal,4/24/2017,4/28/2017,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/28/2017,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Web,4/24/2017,4/29/2017,2,3657.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,4/24/2017,4/29/2017,1,1349.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/29/2017,0,267.96
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/29/2017,3,6456.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM50719 ICAODG2EDL1,Web,4/24/2017,4/29/2017,2,3437.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,Web,4/24/2017,4/29/2017,2,1485.99
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,4/24/2017,4/29/2017,0,218.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,4/24/2017,4/29/2017,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM47271 ICAOSGCESL10,Web,4/24/2017,4/29/2017,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM50726 ICAODG2EDL2,Web,4/24/2017,4/29/2017,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM45898 DOXFBERESPONSE,Call Center Internal,4/24/2017,4/29/2017,1,1999.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM48200 SAWDOXFBESCODE,Call Center Internal,4/24/2017,4/29/2017,1,2699.00
Bowflex Max Trainer,Treadclimber,Online Social,CAM48200 SAWDOXFBESCODE,Call Center Internal,4/24/2017,4/29/2017,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/29/2017,2,3497.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/29/2017,0,.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,4/24/2017,4/30/2017,1,2198.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/30/2017,0,173.97
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/30/2017,2,3596.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,4/24/2017,4/30/2017,5,2764.00
Bowflex Selecttech Dumbbells,Bowflex Home Gyms,Online Display,CAM50721 ICAODG2DDL1,Web,4/24/2017,4/30/2017,0,148.97
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,4/24/2017,4/30/2017,1,2357.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,Web,4/24/2017,4/30/2017,2,4798.00
Bowflex Brand,Treadclimber,Online Search,CAM40992 icaosbcgl1,Web,4/24/2017,4/30/2017,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,4/24/2017,4/30/2017,2,1298.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,4/24/2017,4/30/2017,2,4148.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,4/24/2017,4/30/2017,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM47283 ICAOSGCDSL12,Web,4/24/2017,4/30/2017,1,399.00
Treadclimber,Bowflex Max Trainer,Short Form,CAM50761 HMM*N120DA749TIC,Call Center Internal,4/24/2017,4/30/2017,1,1597.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM50776 GRITN120SOFTYTIC,Call Center Internal,4/24/2017,4/30/2017,1,2158.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/30/2017,1,2599.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,4/24/2017,4/30/2017,0,99.00
